;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;;0.654;0.695;0.675;0.654;0.695;0.258;0.219;0.728;0.821;0.766
ENST00000323039_90_90;0.654;;;;;;;;0.899;0.82;0.718
ENST00000348817_90_90;0.695;;;;;;;;0.827;0.754;0.768
ENST00000430012_90_90;0.675;;;;;;;;0.718;0.654;0.857
ENST00000593685_90_90;0.654;;;;;;;;0.899;0.82;0.718
ENST00000597639_90_90;0.695;;;;;;;;0.827;0.754;0.768
ENST00000600611_90_90;0.258;;;;;;;;0.237;0.216;0.289
ENST00000601972_90_90;0.219;;;;;;;;0.197;0.179;0.246
ENSMUST00000085901_90_90;0.728;0.899;0.827;0.718;0.899;0.827;0.237;0.197;;;
ENSMUST00000172467_90_90;0.821;0.82;0.754;0.654;0.82;0.754;0.216;0.179;;;
ENSMUST00000172761_90_90;0.766;0.718;0.768;0.857;0.718;0.768;0.289;0.246;;;
