;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.973;0.967;0.98;0.076;0.302;0.0;0.123;0.942;0.978;0.981;0.209;0.424
ENSCAFT00000042737_90_90;0.973;1.0;0.981;0.98;0.069;0.294;0.0;0.124;0.948;0.985;0.987;0.209;0.421
ENST00000373836_90_90;0.967;0.981;1.0;0.971;0.067;0.286;0.0;0.137;0.928;0.986;0.966;0.222;0.416
ENST00000373839_90_90;0.98;0.98;0.971;1.0;0.075;0.3;0.007;0.114;0.946;0.967;0.986;0.204;0.426
ENST00000493669_90_90;0.076;0.069;0.067;0.075;1.0;0.277;0.054;0.499;0.075;0.074;0.072;0.324;0.167
ENST00000632202_90_90;0.302;0.294;0.286;0.3;0.277;1.0;0.021;0.385;0.252;0.289;0.291;0.669;0.535
ENST00000632421_90_90;0.0;0.0;0.0;0.007;0.054;0.021;1.0;0.0;0.008;0.0;0.008;0.0;0.017
ENST00000633167_90_90;0.123;0.124;0.137;0.114;0.499;0.385;0.0;1.0;0.083;0.14;0.118;0.398;0.173
ENSMUST00000084170_90_90;0.942;0.948;0.928;0.946;0.075;0.252;0.008;0.083;1.0;0.933;0.961;0.209;0.447
ENSMUST00000084249_90_90;0.978;0.985;0.986;0.967;0.074;0.289;0.0;0.14;0.933;1.0;0.971;0.224;0.413
ENSMUST00000102568_90_90;0.981;0.987;0.966;0.986;0.072;0.291;0.008;0.118;0.961;0.971;1.0;0.201;0.429
ENSMUST00000136711_90_90;0.209;0.209;0.222;0.204;0.324;0.669;0.0;0.398;0.209;0.224;0.201;1.0;0.454
ENSMUST00000152271_90_90;0.424;0.421;0.416;0.426;0.167;0.535;0.017;0.173;0.447;0.413;0.429;0.454;1.0
