;ENSCAFT00000026865_90_90;ENST00000355560_90_90;ENST00000361168_90_90;ENST00000368361_90_90;ENSMUST00000090927_90_90;ENSMUST00000121212_90_90;ENSMUST00000121931_90_90;ENSMUST00000128318_90_90;ENSMUST00000148265_90_90;ENSMUST00000152205_90_90
ENSCAFT00000026865_90_90;;0.724;0.77;0.817;0.77;0.817;0.863;0.293;0.477;0.092
ENST00000355560_90_90;0.724;;;;0.936;0.887;0.847;0.323;0.562;0.129
ENST00000361168_90_90;0.77;;;;0.887;0.944;0.898;0.387;0.625;0.119
ENST00000368361_90_90;0.817;;;;0.847;0.898;0.949;0.359;0.584;0.113
ENSMUST00000090927_90_90;0.77;0.936;0.887;0.847;;;;;;
ENSMUST00000121212_90_90;0.817;0.887;0.944;0.898;;;;;;
ENSMUST00000121931_90_90;0.863;0.847;0.898;0.949;;;;;;
ENSMUST00000128318_90_90;0.293;0.323;0.387;0.359;;;;;;
ENSMUST00000148265_90_90;0.477;0.562;0.625;0.584;;;;;;
ENSMUST00000152205_90_90;0.092;0.129;0.119;0.113;;;;;;
