;ENSCAFT00000039701_90_90;ENST00000314845_90_90;ENST00000458649_90_90;ENST00000526545_90_90;ENST00000526606_90_90;ENST00000528950_90_90;ENST00000533727_90_90;ENST00000534300_90_90;ENSMUST00000045699_90_90;ENSMUST00000045705_90_90;ENSMUST00000099712_90_90;ENSMUST00000111316_90_90;ENSMUST00000111317_90_90
ENSCAFT00000039701_90_90;;0.898;0.817;0.248;0.045;0.776;0.853;0.754;0.887;0.825;0.932;0.764;0.887
ENST00000314845_90_90;0.898;;;;;;;;0.916;0.847;0.964;0.736;0.916
ENST00000458649_90_90;0.817;;;;;;;;0.829;0.94;0.871;0.829;0.829
ENST00000526545_90_90;0.248;;;;;;;;0.263;0.216;0.249;0.246;0.263
ENST00000526606_90_90;0.045;;;;;;;;0.049;0.038;0.045;0.045;0.049
ENST00000528950_90_90;0.776;;;;;;;;0.864;0.9;0.829;0.788;0.864
ENST00000533727_90_90;0.853;;;;;;;;0.961;0.806;0.916;0.695;0.961
ENST00000534300_90_90;0.754;;;;;;;;0.712;0.829;0.754;0.927;0.712
ENSMUST00000045699_90_90;0.887;0.916;0.829;0.263;0.049;0.864;0.961;0.712;;;;;
ENSMUST00000045705_90_90;0.825;0.847;0.94;0.216;0.038;0.9;0.806;0.829;;;;;
ENSMUST00000099712_90_90;0.932;0.964;0.871;0.249;0.045;0.829;0.916;0.754;;;;;
ENSMUST00000111316_90_90;0.764;0.736;0.829;0.246;0.045;0.788;0.695;0.927;;;;;
ENSMUST00000111317_90_90;0.887;0.916;0.829;0.263;0.049;0.864;0.961;0.712;;;;;
