;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;0.708;0.708;0.708;0.391;0.217;0.708;0.708;0.417;0.52;0.045;0.52;0.625;0.708;0.045;0.909;0.909;0.409;0.909;0.045;0.091
ENST00000283256_90_90;0.708;1.0;0.818;1.0;0.55;0.227;0.818;0.818;0.571;0.762;0.048;0.762;0.9;1.0;0.048;0.64;0.64;0.429;0.783;0.048;0.095
ENST00000375427_90_90;0.708;0.818;1.0;0.818;0.409;0.125;1.0;1.0;0.435;0.609;0.048;0.609;0.727;0.818;0.048;0.783;0.783;0.304;0.64;0.048;0.095
ENST00000375437_90_90;0.708;1.0;0.818;1.0;0.55;0.227;0.818;0.818;0.571;0.762;0.048;0.762;0.9;1.0;0.048;0.64;0.64;0.429;0.783;0.048;0.095
ENST00000424833_90_90;0.391;0.55;0.409;0.55;1.0;0.385;0.409;0.409;0.714;0.647;0.083;0.647;0.45;0.55;0.083;0.333;0.333;0.75;0.455;0.0;0.0
ENST00000486878_90_90;0.217;0.227;0.125;0.227;0.385;1.0;0.125;0.125;0.25;0.263;0.0;0.263;0.25;0.227;0.0;0.167;0.167;0.545;0.273;0.0;0.0
ENST00000631182_90_90;0.708;0.818;1.0;0.818;0.409;0.125;1.0;1.0;0.435;0.609;0.048;0.609;0.727;0.818;0.048;0.783;0.783;0.304;0.64;0.048;0.095
ENST00000636071_90_90;0.708;0.818;1.0;0.818;0.409;0.125;1.0;1.0;0.435;0.609;0.048;0.609;0.727;0.818;0.048;0.783;0.783;0.304;0.64;0.048;0.095
ENST00000636135_90_90;0.417;0.571;0.435;0.571;0.714;0.25;0.435;0.435;1.0;0.667;0.071;0.667;0.476;0.571;0.071;0.36;0.36;0.533;0.478;0.0;0.0
ENST00000636384_90_90;0.52;0.762;0.609;0.762;0.647;0.263;0.609;0.609;0.667;1.0;0.056;0.889;0.667;0.762;0.056;0.462;0.462;0.5;0.583;0.0;0.0
ENST00000636662_90_90;0.045;0.048;0.048;0.048;0.083;0.0;0.048;0.048;0.071;0.056;1.0;0.056;0.0;0.048;1.0;0.045;0.045;0.091;0.045;0.0;0.0
ENST00000636769_90_90;0.52;0.762;0.609;0.762;0.647;0.263;0.609;0.609;0.667;0.889;0.056;1.0;0.667;0.762;0.056;0.462;0.462;0.5;0.583;0.0;0.0
ENST00000636985_90_90;0.625;0.9;0.727;0.9;0.45;0.25;0.727;0.727;0.476;0.667;0.0;0.667;1.0;0.9;0.0;0.56;0.56;0.333;0.696;0.053;0.105
ENST00000637266_90_90;0.708;1.0;0.818;1.0;0.55;0.227;0.818;0.818;0.571;0.762;0.048;0.762;0.9;1.0;0.048;0.64;0.64;0.429;0.783;0.048;0.095
ENST00000637367_90_90;0.045;0.048;0.048;0.048;0.083;0.0;0.048;0.048;0.071;0.056;1.0;0.056;0.0;0.048;1.0;0.045;0.045;0.091;0.045;0.0;0.0
ENSMUST00000028377_90_90;0.909;0.64;0.783;0.64;0.333;0.167;0.783;0.783;0.36;0.462;0.045;0.462;0.56;0.64;0.045;1.0;1.0;0.348;0.826;0.045;0.091
ENSMUST00000100067_90_90;0.909;0.64;0.783;0.64;0.333;0.167;0.783;0.783;0.36;0.462;0.045;0.462;0.56;0.64;0.045;1.0;1.0;0.348;0.826;0.045;0.091
ENSMUST00000144254_90_90;0.409;0.429;0.304;0.429;0.75;0.545;0.304;0.304;0.533;0.5;0.091;0.5;0.333;0.429;0.091;0.348;0.348;1.0;0.476;0.0;0.0
ENSMUST00000200829_90_90;0.909;0.783;0.64;0.783;0.455;0.273;0.64;0.64;0.478;0.583;0.045;0.583;0.696;0.783;0.045;0.826;0.826;0.476;1.0;0.045;0.091
ENSMUST00000202162_90_90;0.045;0.048;0.048;0.048;0.0;0.0;0.048;0.048;0.0;0.0;0.0;0.0;0.053;0.048;0.0;0.045;0.045;0.0;0.045;1.0;0.667
ENSMUST00000202508_90_90;0.091;0.095;0.095;0.095;0.0;0.0;0.095;0.095;0.0;0.0;0.0;0.0;0.105;0.095;0.0;0.091;0.091;0.0;0.091;0.667;1.0
