;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.947;0.722;0.868;0.159;0.307;0.336;0.971;0.448;0.777;0.824;0.448
ENST00000285737_90_90;0.947;1.0;0.67;0.921;0.176;0.307;0.313;0.972;0.489;0.829;0.728;0.489
ENST00000416006_90_90;0.722;0.67;1.0;0.721;0.035;0.276;0.376;0.651;0.286;0.568;0.877;0.286
ENST00000535754_90_90;0.868;0.921;0.721;1.0;0.191;0.229;0.341;0.89;0.534;0.822;0.652;0.534
ENST00000565867_90_90;0.159;0.176;0.035;0.191;1.0;0.0;0.0;0.19;0.395;0.234;0.036;0.395
ENST00000566755_90_90;0.307;0.307;0.276;0.229;0.0;1.0;0.038;0.315;0.0;0.204;0.379;0.0
ENST00000570174_90_90;0.336;0.313;0.376;0.341;0.0;0.038;1.0;0.321;0.111;0.286;0.365;0.111
ENSMUST00000034141_90_90;0.971;0.972;0.651;0.89;0.19;0.315;0.321;1.0;0.464;0.811;0.737;0.464
ENSMUST00000121673_90_90;0.448;0.489;0.286;0.534;0.395;0.0;0.111;0.464;1.0;0.571;0.244;1.0
ENSMUST00000122188_90_90;0.777;0.829;0.568;0.822;0.234;0.204;0.286;0.811;0.571;1.0;0.564;0.571
ENSMUST00000155433_90_90;0.824;0.728;0.877;0.652;0.036;0.379;0.365;0.737;0.244;0.564;1.0;0.244
ENSMUST00000163987_90_90;0.448;0.489;0.286;0.534;0.395;0.0;0.111;0.464;1.0;0.571;0.244;1.0
