;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.207;0.559;0.062;0.032;0.667;0.172;0.394;0.625;0.1;0.355;0.036;0.594;0.516;0.484;0.484;0.588;0.172;0.486;0.484
ENST00000297447_90_90;0.207;1.0;0.143;0.083;0.0;0.172;0.857;0.0;0.192;0.0;0.105;0.143;0.154;0.238;0.19;0.19;0.179;0.857;0.133;0.19
ENST00000312046_90_90;0.559;0.143;1.0;0.24;0.16;0.625;0.148;0.483;0.69;0.111;0.5;0.04;0.714;0.419;0.433;0.433;0.417;0.148;0.444;0.433
ENST00000435082_90_90;0.062;0.083;0.24;1.0;0.429;0.031;0.091;0.0;0.034;0.0;0.0;0.0;0.036;0.042;0.043;0.043;0.032;0.091;0.065;0.043
ENST00000438229_90_90;0.032;0.0;0.16;0.429;1.0;0.033;0.0;0.048;0.037;0.125;0.0;0.0;0.038;0.0;0.0;0.0;0.034;0.0;0.069;0.0
ENST00000442977_90_90;0.667;0.172;0.625;0.031;0.033;1.0;0.138;0.452;0.821;0.103;0.464;0.037;0.786;0.438;0.406;0.406;0.606;0.138;0.385;0.406
ENST00000449762_90_90;0.172;0.857;0.148;0.091;0.0;0.138;1.0;0.0;0.154;0.0;0.111;0.167;0.16;0.19;0.2;0.2;0.143;1.0;0.138;0.2
ENST00000497705_90_90;0.394;0.0;0.483;0.0;0.048;0.452;0.0;1.0;0.5;0.15;0.391;0.0;0.519;0.276;0.286;0.286;0.294;0.0;0.324;0.286
ENST00000517566_90_90;0.625;0.192;0.69;0.034;0.037;0.821;0.154;0.5;1.0;0.115;0.52;0.042;0.958;0.483;0.448;0.448;0.562;0.154;0.417;0.448
ENST00000517686_90_90;0.1;0.0;0.111;0.0;0.125;0.103;0.0;0.15;0.115;1.0;0.0;0.0;0.12;0.043;0.045;0.045;0.107;0.0;0.143;0.045
ENST00000519415_90_90;0.355;0.105;0.5;0.0;0.0;0.464;0.111;0.391;0.52;0.0;1.0;0.071;0.542;0.32;0.333;0.333;0.25;0.111;0.242;0.333
ENST00000521592_90_90;0.036;0.143;0.04;0.0;0.0;0.037;0.167;0.0;0.042;0.0;0.071;1.0;0.043;0.053;0.056;0.056;0.038;0.167;0.037;0.056
ENST00000531443_90_90;0.594;0.154;0.714;0.036;0.038;0.786;0.16;0.519;0.958;0.12;0.542;0.043;1.0;0.448;0.464;0.464;0.531;0.16;0.429;0.464
ENSMUST00000022918_90_90;0.516;0.238;0.419;0.042;0.0;0.438;0.19;0.276;0.483;0.043;0.32;0.053;0.448;1.0;0.947;0.947;0.731;0.19;0.643;0.947
ENSMUST00000090095_90_90;0.484;0.19;0.433;0.043;0.0;0.406;0.2;0.286;0.448;0.045;0.333;0.056;0.464;0.947;1.0;1.0;0.692;0.2;0.667;1.0
ENSMUST00000090096_90_90;0.484;0.19;0.433;0.043;0.0;0.406;0.2;0.286;0.448;0.045;0.333;0.056;0.464;0.947;1.0;1.0;0.692;0.2;0.667;1.0
ENSMUST00000110297_90_90;0.588;0.179;0.417;0.032;0.034;0.606;0.143;0.294;0.562;0.107;0.25;0.038;0.531;0.731;0.692;0.692;1.0;0.143;0.606;0.692
ENSMUST00000166917_90_90;0.172;0.857;0.148;0.091;0.0;0.138;1.0;0.0;0.154;0.0;0.111;0.167;0.16;0.19;0.2;0.2;0.143;1.0;0.138;0.2
ENSMUST00000170127_90_90;0.486;0.133;0.444;0.065;0.069;0.385;0.138;0.324;0.417;0.143;0.242;0.037;0.429;0.643;0.667;0.667;0.606;0.138;1.0;0.667
ENSMUST00000179393_90_90;0.484;0.19;0.433;0.043;0.0;0.406;0.2;0.286;0.448;0.045;0.333;0.056;0.464;0.947;1.0;1.0;0.692;0.2;0.667;1.0
