;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.893;0.874;0.743;0.893;0.342;0.502;0.268;0.476;0.917;0.998;0.98;0.917;0.98;0.079;0.082;0.228;0.241;0.379
ENST00000290246_90_90;0.893;1.0;0.98;0.824;1.0;0.322;0.542;0.331;0.351;0.722;0.872;0.853;0.722;0.853;0.089;0.074;0.244;0.271;0.268
ENST00000352077_90_90;0.874;0.98;1.0;0.803;0.98;0.328;0.522;0.337;0.356;0.703;0.852;0.833;0.703;0.833;0.091;0.076;0.252;0.277;0.272
ENST00000372176_90_90;0.743;0.824;0.803;1.0;0.824;0.385;0.366;0.399;0.405;0.581;0.721;0.702;0.581;0.702;0.0;0.0;0.07;0.329;0.313
ENST00000396391_90_90;0.893;1.0;0.98;0.824;1.0;0.322;0.542;0.331;0.351;0.722;0.872;0.853;0.722;0.853;0.089;0.074;0.244;0.271;0.268
ENST00000425546_90_90;0.342;0.322;0.328;0.385;0.322;1.0;0.251;0.069;0.306;0.317;0.348;0.329;0.317;0.329;0.0;0.0;0.0;0.233;0.141
ENST00000450812_90_90;0.502;0.542;0.522;0.366;0.542;0.251;1.0;0.0;0.076;0.481;0.512;0.494;0.481;0.494;0.16;0.127;0.414;0.485;0.0
ENST00000452857_90_90;0.268;0.331;0.337;0.399;0.331;0.069;0.0;1.0;0.279;0.165;0.245;0.249;0.165;0.249;0.0;0.0;0.0;0.0;0.606
ENST00000467800_90_90;0.476;0.351;0.356;0.405;0.351;0.306;0.076;0.279;1.0;0.476;0.483;0.492;0.476;0.492;0.0;0.0;0.0;0.046;0.533
ENSMUST00000071699_90_90;0.917;0.722;0.703;0.581;0.722;0.317;0.481;0.165;0.476;1.0;0.811;0.845;1.0;0.845;0.074;0.077;0.215;0.242;0.296
ENSMUST00000074046_90_90;0.998;0.872;0.852;0.721;0.872;0.348;0.512;0.245;0.483;0.811;1.0;0.96;0.811;0.96;0.075;0.076;0.213;0.245;0.376
ENSMUST00000094329_90_90;0.98;0.853;0.833;0.702;0.853;0.329;0.494;0.249;0.492;0.845;0.96;1.0;0.845;1.0;0.078;0.08;0.223;0.255;0.391
ENSMUST00000103088_90_90;0.917;0.722;0.703;0.581;0.722;0.317;0.481;0.165;0.476;1.0;0.811;0.845;1.0;0.845;0.074;0.077;0.215;0.242;0.296
ENSMUST00000103091_90_90;0.98;0.853;0.833;0.702;0.853;0.329;0.494;0.249;0.492;0.845;0.96;1.0;0.845;1.0;0.078;0.08;0.223;0.255;0.391
ENSMUST00000126318_90_90;0.079;0.089;0.091;0.0;0.089;0.0;0.16;0.0;0.0;0.074;0.075;0.078;0.074;0.078;1.0;0.431;0.382;0.0;0.0
ENSMUST00000128690_90_90;0.082;0.074;0.076;0.0;0.074;0.0;0.127;0.0;0.0;0.077;0.076;0.08;0.077;0.08;0.431;1.0;0.356;0.0;0.0
ENSMUST00000133205_90_90;0.228;0.244;0.252;0.07;0.244;0.0;0.414;0.0;0.0;0.215;0.213;0.223;0.215;0.223;0.382;0.356;1.0;0.077;0.0
ENSMUST00000137188_90_90;0.241;0.271;0.277;0.329;0.271;0.233;0.485;0.0;0.046;0.242;0.245;0.255;0.242;0.255;0.0;0.0;0.077;1.0;0.0
ENSMUST00000148643_90_90;0.379;0.268;0.272;0.313;0.268;0.141;0.0;0.606;0.533;0.296;0.376;0.391;0.296;0.391;0.0;0.0;0.0;0.0;1.0
