;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.937;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.957;0.996;0.957
ENSCAFT00000027252_90_90;0.937;1.0;0.838;0.937;0.838;0.937;0.89;0.098;0.937;0.895;0.933;0.895
ENST00000327028_90_90;0.901;0.838;1.0;0.901;1.0;0.901;0.855;0.102;0.901;0.866;0.904;0.866
ENST00000343765_90_90;1.0;0.937;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.957;0.996;0.957
ENST00000448935_90_90;0.901;0.838;1.0;0.901;1.0;0.901;0.855;0.102;0.901;0.866;0.904;0.866
ENST00000553888_90_90;1.0;0.937;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.957;0.996;0.957
ENST00000556412_90_90;0.95;0.89;0.855;0.95;0.855;0.95;1.0;0.087;0.95;0.909;0.946;0.909
ENST00000557466_90_90;0.092;0.098;0.102;0.092;0.102;0.092;0.087;1.0;0.092;0.096;0.092;0.096
ENST00000557658_90_90;1.0;0.937;0.901;1.0;0.901;1.0;0.95;0.092;1.0;0.957;0.996;0.957
ENSMUST00000021426_90_90;0.957;0.895;0.866;0.957;0.866;0.957;0.909;0.096;0.957;1.0;0.961;1.0
ENSMUST00000072744_90_90;0.996;0.933;0.904;0.996;0.904;0.996;0.946;0.092;0.996;0.961;1.0;0.961
ENSMUST00000179379_90_90;0.957;0.895;0.866;0.957;0.866;0.957;0.909;0.096;0.957;1.0;0.961;1.0
