;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.748;0.745;0.745;0.77;0.924;0.77;0.745;0.158;0.489;0.539;0.027;0.751;0.05;0.165;0.683;0.926;0.891;0.892;0.926;0.891;0.257;0.0
ENSCAFT00000043222_90_90;0.748;1.0;0.995;0.995;0.956;0.798;0.956;0.995;0.296;0.689;0.691;0.141;0.812;0.054;0.252;0.921;0.96;0.998;0.999;0.96;0.998;0.364;0.104
ENST00000164247_90_90;0.745;0.995;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.956;0.995;0.955;0.956;0.995;0.365;0.104
ENST00000341524_90_90;0.745;0.995;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.956;0.995;0.955;0.956;0.995;0.365;0.104
ENST00000352527_90_90;0.77;0.956;0.962;0.962;1.0;0.743;1.0;0.962;0.219;0.653;0.719;0.103;0.85;0.043;0.18;0.764;0.994;0.956;0.919;0.994;0.956;0.326;0.071
ENST00000378083_90_90;0.924;0.798;0.72;0.72;0.743;1.0;0.743;0.72;0.133;0.471;0.518;0.026;0.723;0.038;0.136;0.583;0.884;0.852;0.891;0.884;0.852;0.246;0.0
ENST00000378092_90_90;0.77;0.956;0.962;0.962;1.0;0.743;1.0;0.962;0.219;0.653;0.719;0.103;0.85;0.043;0.18;0.764;0.994;0.956;0.919;0.994;0.956;0.326;0.071
ENST00000378097_90_90;0.745;0.995;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.956;0.995;0.955;0.956;0.995;0.365;0.104
ENST00000378111_90_90;0.158;0.296;0.252;0.252;0.219;0.133;0.219;0.252;1.0;0.342;0.285;0.299;0.097;0.071;0.381;0.237;0.225;0.259;0.25;0.225;0.259;0.585;0.238
ENST00000389632_90_90;0.489;0.689;0.691;0.691;0.653;0.471;0.653;0.691;0.342;1.0;0.893;0.204;0.509;0.055;0.286;0.642;0.651;0.689;0.662;0.651;0.689;0.526;0.15
ENST00000428161_90_90;0.539;0.691;0.691;0.691;0.719;0.518;0.719;0.691;0.285;0.893;1.0;0.14;0.569;0.055;0.232;0.642;0.719;0.691;0.664;0.719;0.691;0.445;0.096
ENST00000445501_90_90;0.027;0.141;0.141;0.141;0.103;0.026;0.103;0.141;0.299;0.204;0.14;1.0;0.0;0.0;0.199;0.131;0.102;0.14;0.134;0.102;0.14;0.383;0.74
ENST00000458166_90_90;0.751;0.812;0.817;0.817;0.85;0.723;0.85;0.817;0.097;0.509;0.569;0.0;1.0;0.049;0.099;0.639;0.845;0.813;0.781;0.845;0.813;0.182;0.0
ENST00000462676_90_90;0.05;0.054;0.042;0.042;0.043;0.038;0.043;0.042;0.071;0.055;0.055;0.0;0.049;1.0;0.153;0.04;0.057;0.054;0.052;0.057;0.054;0.149;0.0
ENST00000472700_90_90;0.165;0.252;0.212;0.212;0.18;0.136;0.18;0.212;0.381;0.286;0.232;0.199;0.099;0.153;1.0;0.199;0.213;0.252;0.242;0.213;0.252;0.689;0.199
ENST00000602612_90_90;0.683;0.921;0.797;0.797;0.764;0.583;0.764;0.797;0.237;0.642;0.642;0.131;0.639;0.04;0.199;1.0;0.883;0.921;0.885;0.883;0.921;0.394;0.112
ENSMUST00000030768_90_90;0.926;0.96;0.956;0.956;0.994;0.884;0.994;0.956;0.225;0.651;0.719;0.102;0.845;0.057;0.213;0.883;1.0;0.962;0.924;1.0;0.962;0.327;0.07
ENSMUST00000105648_90_90;0.891;0.998;0.995;0.995;0.956;0.852;0.956;0.995;0.259;0.689;0.691;0.14;0.813;0.054;0.252;0.921;0.962;1.0;0.961;0.962;1.0;0.365;0.104
ENSMUST00000159186_90_90;0.892;0.999;0.955;0.955;0.919;0.891;0.919;0.955;0.25;0.662;0.664;0.134;0.781;0.052;0.242;0.885;0.924;0.961;1.0;0.924;0.961;0.351;0.099
ENSMUST00000159840_90_90;0.926;0.96;0.956;0.956;0.994;0.884;0.994;0.956;0.225;0.651;0.719;0.102;0.845;0.057;0.213;0.883;1.0;0.962;0.924;1.0;0.962;0.327;0.07
ENSMUST00000160884_90_90;0.891;0.998;0.995;0.995;0.956;0.852;0.956;0.995;0.259;0.689;0.691;0.14;0.813;0.054;0.252;0.921;0.962;1.0;0.961;0.962;1.0;0.365;0.104
ENSMUST00000161236_90_90;0.257;0.364;0.365;0.365;0.326;0.246;0.326;0.365;0.585;0.526;0.445;0.383;0.182;0.149;0.689;0.394;0.327;0.365;0.351;0.327;0.365;1.0;0.284
ENSMUST00000162017_90_90;0.0;0.104;0.104;0.104;0.071;0.0;0.071;0.104;0.238;0.15;0.096;0.74;0.0;0.0;0.199;0.112;0.07;0.104;0.099;0.07;0.104;0.284;1.0
