;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.609;0.926;0.426;0.609;0.214;0.324;0.926;0.359;0.609;0.963;0.965;0.999
ENST00000338183_90_90;0.609;1.0;0.669;0.572;1.0;0.257;0.119;0.669;0.607;1.0;0.625;0.631;0.583
ENST00000437989_90_90;0.926;0.669;1.0;0.396;0.669;0.218;0.306;1.0;0.405;0.669;0.934;0.959;0.887
ENST00000562489_90_90;0.426;0.572;0.396;1.0;0.572;0.331;0.0;0.396;0.219;0.572;0.371;0.446;0.406
ENST00000562877_90_90;0.609;1.0;0.669;0.572;1.0;0.257;0.119;0.669;0.607;1.0;0.625;0.631;0.583
ENST00000563167_90_90;0.214;0.257;0.218;0.331;0.257;1.0;0.059;0.218;0.0;0.257;0.202;0.187;0.17
ENST00000564586_90_90;0.324;0.119;0.306;0.0;0.119;0.059;1.0;0.306;0.167;0.119;0.288;0.335;0.31
ENST00000566621_90_90;0.926;0.669;1.0;0.396;0.669;0.218;0.306;1.0;0.405;0.669;0.934;0.959;0.887
ENST00000566807_90_90;0.359;0.607;0.405;0.219;0.607;0.0;0.167;0.405;1.0;0.607;0.38;0.409;0.379
ENST00000567389_90_90;0.609;1.0;0.669;0.572;1.0;0.257;0.119;0.669;0.607;1.0;0.625;0.631;0.583
ENST00000569302_90_90;0.963;0.625;0.934;0.371;0.625;0.202;0.288;0.934;0.38;0.625;1.0;0.887;0.964
ENSMUST00000110918_90_90;0.965;0.631;0.959;0.446;0.631;0.187;0.335;0.959;0.409;0.631;0.887;1.0;0.934
ENSMUST00000166472_90_90;0.999;0.583;0.887;0.406;0.583;0.17;0.31;0.887;0.379;0.583;0.964;0.934;1.0
