id_transcript;id_transcript;orthologs
ENSCAFT00000003155_90_90;ENSCAFT00000003155_90_90;ENST00000264312_90_90:ENST00000381473_90_90:ENST00000508293_90_90:ENST00000513391_90_90
ENST00000264312_90_90;ENST00000264312_90_90;ENSCAFT00000003155_90_90
ENST00000381473_90_90;ENST00000381473_90_90;ENSCAFT00000003155_90_90
ENST00000396448_90_90;ENST00000396448_90_90;null
ENST00000425583_90_90;ENST00000425583_90_90;null
ENST00000444354_90_90;ENST00000444354_90_90;null
ENST00000503016_90_90;ENST00000503016_90_90;null
ENST00000504654_90_90;ENST00000504654_90_90;null
ENST00000505922_90_90;ENST00000505922_90_90;null
ENST00000506801_90_90;ENST00000506801_90_90;null
ENST00000507210_90_90;ENST00000507210_90_90;null
ENST00000508293_90_90;ENST00000508293_90_90;ENSCAFT00000003155_90_90
ENST00000508996_90_90;ENST00000508996_90_90;null
ENST00000509122_90_90;ENST00000509122_90_90;null
ENST00000509164_90_90;ENST00000509164_90_90;null
ENST00000509246_90_90;ENST00000509246_90_90;null
ENST00000509664_90_90;ENST00000509664_90_90;null
ENST00000509963_90_90;ENST00000509963_90_90;null
ENST00000510824_90_90;ENST00000510824_90_90;null
ENST00000511102_90_90;ENST00000511102_90_90;null
ENST00000511662_90_90;ENST00000511662_90_90;ENSMUST00000071081_90_90:ENSMUST00000166823_90_90:ENSMUST00000202250_90_90
ENST00000512236_90_90;ENST00000512236_90_90;null
ENST00000513391_90_90;ENST00000513391_90_90;ENSCAFT00000003155_90_90
ENST00000513641_90_90;ENST00000513641_90_90;null
ENST00000514981_90_90;ENST00000514981_90_90;null
ENSMUST00000031038_90_90;ENSMUST00000031038_90_90;null
ENSMUST00000071081_90_90;ENSMUST00000071081_90_90;ENST00000511662_90_90
ENSMUST00000166823_90_90;ENSMUST00000166823_90_90;ENST00000511662_90_90
ENSMUST00000200935_90_90;ENSMUST00000200935_90_90;null
ENSMUST00000201505_90_90;ENSMUST00000201505_90_90;null
ENSMUST00000201556_90_90;ENSMUST00000201556_90_90;null
ENSMUST00000201739_90_90;ENSMUST00000201739_90_90;null
ENSMUST00000202237_90_90;ENSMUST00000202237_90_90;null
ENSMUST00000202250_90_90;ENSMUST00000202250_90_90;ENST00000511662_90_90
