;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.912;0.931;0.931;0.582;0.619;0.549;0.837;0.834;0.814;0.585;0.809;0.875;0.754;0.715;0.727;0.727;0.701;0.74;0.79;0.766;0.79;0.764
transcript38_ENSMSIG00000000513;0.912;1.0;0.979;0.979;0.754;0.631;0.726;0.935;0.88;0.915;0.639;0.807;0.876;0.859;0.807;0.849;0.849;0.825;0.825;0.833;0.862;0.833;0.86
transcript52_ENSMSIG00000000513;0.931;0.979;1.0;1.0;0.663;0.706;0.632;0.902;0.901;0.88;0.654;0.881;0.942;0.817;0.757;0.8;0.8;0.775;0.815;0.794;0.824;0.794;0.821
transcript58_ENSMSIG00000000513;0.931;0.979;1.0;1.0;0.663;0.706;0.632;0.902;0.901;0.88;0.654;0.881;0.942;0.817;0.757;0.8;0.8;0.775;0.815;0.794;0.824;0.794;0.821
transcript38_MGP-SPRETEiJ-G0021131;0.582;0.754;0.663;0.663;1.0;0.863;0.988;0.839;0.758;0.815;0.703;0.649;0.752;0.823;0.765;0.817;0.817;0.787;0.787;0.79;0.827;0.79;0.826
transcript52_MGP-SPRETEiJ-G0021131;0.619;0.631;0.706;0.706;0.863;1.0;0.846;0.738;0.783;0.714;0.724;0.693;0.795;0.718;0.656;0.708;0.708;0.678;0.732;0.692;0.728;0.692;0.728
transcript63_MGP-SPRETEiJ-G0021131;0.549;0.726;0.632;0.632;0.988;0.846;1.0;0.822;0.777;0.835;0.722;0.626;0.731;0.823;0.79;0.795;0.795;0.812;0.765;0.773;0.809;0.773;0.808
transcript38_ENSMUSG00000054036;0.837;0.935;0.902;0.902;0.839;0.738;0.822;1.0;0.965;0.983;0.771;0.858;0.91;0.91;0.857;0.893;0.893;0.872;0.872;0.888;0.912;0.888;0.911
transcript54_ENSMUSG00000054036;0.834;0.88;0.901;0.901;0.758;0.783;0.777;0.965;1.0;0.984;0.799;0.907;0.955;0.881;0.839;0.837;0.837;0.854;0.848;0.843;0.868;0.843;0.867
transcript55_ENSMUSG00000054036;0.814;0.915;0.88;0.88;0.815;0.714;0.835;0.983;0.984;1.0;0.786;0.839;0.893;0.91;0.876;0.874;0.874;0.891;0.853;0.873;0.897;0.873;0.896
