;transcript2_ENSMLUG00000027828;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript7_ENSNGAG00000018584;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;0.891;1.0;1.0;0.409;0.93;0.932;0.932;0.891;0.904;1.0;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;0.437;0.9;0.9;0.893;0.893;0.893;1.0;1.0
transcript17_ENSMUGG00000013592;0.891;1.0;1.0;0.894;0.898;0.437;0.812;0.812;0.805;0.805;0.805;0.894;0.894
transcript29_ENSMUGG00000013592;1.0;1.0;0.894;1.0;1.0;0.394;0.912;0.912;0.905;0.905;0.905;1.0;1.0
transcript8_ENSPEMG00000024651;1.0;1.0;0.898;1.0;1.0;0.402;0.909;0.909;0.902;0.902;0.902;1.0;1.0
transcript7_ENSNGAG00000018584;0.409;0.437;0.437;0.394;0.402;1.0;0.336;0.339;0.432;0.386;0.447;0.403;0.403
transcript8_ENSNGAG00000018584;0.93;0.9;0.812;0.912;0.909;0.336;1.0;0.997;0.865;0.821;0.835;0.933;0.933
transcript9_ENSNGAG00000018584;0.932;0.9;0.812;0.912;0.909;0.339;0.997;1.0;0.868;0.824;0.838;0.936;0.936
transcript10_ENSNGAG00000018584;0.932;0.893;0.805;0.905;0.902;0.432;0.865;0.868;1.0;0.953;0.968;0.932;0.932
transcript18_ENSNGAG00000018584;0.891;0.893;0.805;0.905;0.902;0.386;0.821;0.824;0.953;1.0;0.922;0.888;0.888
transcript19_ENSNGAG00000018584;0.904;0.893;0.805;0.905;0.902;0.447;0.835;0.838;0.968;0.922;1.0;0.902;0.902
transcript2_ENSSTOG00000019743;1.0;1.0;0.894;1.0;1.0;0.403;0.933;0.936;0.932;0.888;0.902;1.0;1.0
transcript15_ENSSTOG00000019743;1.0;1.0;0.894;1.0;1.0;0.403;0.933;0.936;0.932;0.888;0.902;1.0;1.0
