;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.55;0.95;0.15;0.05;0.8;0.824;0.353;0.176;1.0
ENST00000389900_90_90;0.55;1.0;0.609;0.118;0.067;0.7;0.615;0.4;0.222;0.5
ENST00000389902_90_90;0.95;0.609;1.0;0.083;0.045;0.864;0.75;0.312;0.2;0.938
ENST00000411812_90_90;0.15;0.118;0.083;1.0;0.25;0.095;0.231;0.5;0.5;0.188
ENST00000416985_90_90;0.05;0.067;0.045;0.25;1.0;0.053;0.077;0.167;0.333;0.062
ENST00000425013_90_90;0.8;0.7;0.864;0.095;0.053;1.0;0.923;0.286;0.25;0.75
ENSMUST00000053498_90_90;0.824;0.615;0.75;0.231;0.077;0.923;1.0;0.333;0.214;0.824
ENSMUST00000197296_90_90;0.353;0.4;0.312;0.5;0.167;0.286;0.333;1.0;0.286;0.353
ENSMUST00000200430_90_90;0.176;0.222;0.2;0.5;0.333;0.25;0.214;0.286;1.0;0.176
ENSMUST00000200607_90_90;1.0;0.5;0.938;0.188;0.062;0.75;0.824;0.353;0.176;1.0
