;transcript2_ENSHGLG00100003156;transcript2_ENSPCIG00000036398;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript19_ENSPCIG00000036398;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079
transcript2_ENSHGLG00100003156;1.0;1.0;0.865;0.865;0.987;0.987;0.885;0.942;0.741;0.987;0.885;0.885;0.845;0.719;0.613;0.415;0.816;0.816
transcript2_ENSPCIG00000036398;1.0;1.0;0.865;0.865;0.987;0.987;0.885;0.942;0.741;0.987;0.885;0.885;0.845;0.719;0.613;0.415;0.816;0.816
transcript8_ENSHGLG00100003156;0.865;0.865;1.0;1.0;0.853;0.853;0.978;0.894;0.834;0.853;0.978;0.978;0.864;0.814;0.694;0.471;0.764;0.764
transcript8_ENSHGLG00000019563;0.865;0.865;1.0;1.0;0.853;0.853;0.978;0.894;0.834;0.853;0.978;0.978;0.864;0.814;0.694;0.471;0.764;0.764
transcript16_ENSHGLG00100003156;0.987;0.987;0.853;0.853;1.0;1.0;0.873;0.954;0.729;1.0;0.873;0.873;0.833;0.706;0.6;0.403;0.803;0.803
transcript16_ENSHGLG00000019563;0.987;0.987;0.853;0.853;1.0;1.0;0.873;0.954;0.729;1.0;0.873;0.873;0.833;0.706;0.6;0.403;0.803;0.803
transcript18_ENSHGLG00100003156;0.885;0.885;0.978;0.978;0.873;0.873;1.0;0.915;0.833;0.873;1.0;1.0;0.885;0.813;0.694;0.474;0.786;0.786
transcript21_ENSHGLG00100003156;0.942;0.942;0.894;0.894;0.954;0.954;0.915;1.0;0.764;0.954;0.915;0.915;0.811;0.742;0.631;0.426;0.844;0.844
transcript22_ENSHGLG00100003156;0.741;0.741;0.834;0.834;0.729;0.729;0.833;0.764;1.0;0.729;0.833;0.833;0.838;0.822;0.7;0.496;0.645;0.645
transcript23_ENSHGLG00100003156;0.987;0.987;0.853;0.853;1.0;1.0;0.873;0.954;0.729;1.0;0.873;0.873;0.833;0.706;0.6;0.403;0.803;0.803
transcript13_ENSHGLG00000019563;0.885;0.885;0.978;0.978;0.873;0.873;1.0;0.915;0.833;0.873;1.0;1.0;0.885;0.813;0.694;0.474;0.786;0.786
transcript19_ENSHGLG00000019563;0.885;0.885;0.978;0.978;0.873;0.873;1.0;0.915;0.833;0.873;1.0;1.0;0.885;0.813;0.694;0.474;0.786;0.786
transcript19_ENSPCIG00000036398;0.845;0.845;0.864;0.864;0.833;0.833;0.885;0.811;0.838;0.833;0.885;0.885;1.0;0.818;0.709;0.476;0.684;0.684
transcript26_ENSHGLG00000019563;0.719;0.719;0.814;0.814;0.706;0.706;0.813;0.742;0.822;0.706;0.813;0.813;0.818;1.0;0.848;0.566;0.661;0.661
transcript27_ENSHGLG00000019563;0.613;0.613;0.694;0.694;0.6;0.6;0.694;0.631;0.7;0.6;0.694;0.694;0.709;0.848;1.0;0.653;0.595;0.595
transcript28_ENSHGLG00000019563;0.415;0.415;0.471;0.471;0.403;0.403;0.474;0.426;0.496;0.403;0.474;0.474;0.476;0.566;0.653;1.0;0.456;0.456
transcript7_ENSHGLG00100006079;0.816;0.816;0.764;0.764;0.803;0.803;0.786;0.844;0.645;0.803;0.786;0.786;0.684;0.661;0.595;0.456;1.0;1.0
transcript14_ENSHGLG00100006079;0.816;0.816;0.764;0.764;0.803;0.803;0.786;0.844;0.645;0.803;0.786;0.786;0.684;0.661;0.595;0.456;1.0;1.0
