;transcript8_ENSAOCG00000015695;transcript8_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript26_ENSAOCG00000015695;transcript7_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript30_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript32_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript36_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript1_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript8_ENSAOCG00000015695;1.0;0.895;0.568;0.774;0.706;0.706;0.722;0.722;0.738;0.698;0.745;0.758;0.712;0.673;0.629;0.652;0.652;0.609;0.66;0.736;0.722;0.724;0.758;0.736;0.724
transcript8_ENSAPOG00000023408;0.895;1.0;0.538;0.792;0.722;0.722;0.738;0.738;0.754;0.717;0.739;0.776;0.684;0.689;0.645;0.669;0.669;0.625;0.677;0.755;0.738;0.74;0.776;0.706;0.74
transcript42_ENSAPOG00000023408;0.568;0.538;1.0;0.736;0.73;0.73;0.746;0.746;0.784;0.655;0.722;0.697;0.716;0.719;0.674;0.857;0.857;0.807;0.843;0.69;0.746;0.768;0.697;0.69;0.768
transcript26_ENSAOCG00000015695;0.774;0.792;0.736;1.0;0.897;0.897;0.913;0.913;0.952;0.824;0.924;0.96;0.866;0.886;0.843;0.866;0.866;0.823;0.852;0.858;0.913;0.933;0.96;0.892;0.933
transcript7_ENSAPOG00000016134;0.706;0.722;0.73;0.897;1.0;1.0;0.983;0.983;0.946;0.889;0.897;0.933;0.866;0.911;0.867;0.861;0.861;0.817;0.847;0.925;0.983;0.927;0.933;0.866;0.927
transcript7_ENSAPOG00000023408;0.706;0.722;0.73;0.897;1.0;1.0;0.983;0.983;0.946;0.889;0.897;0.933;0.866;0.911;0.867;0.861;0.861;0.817;0.847;0.925;0.983;0.927;0.933;0.866;0.927
transcript27_ENSAPOG00000016134;0.722;0.738;0.746;0.913;0.983;0.983;1.0;1.0;0.962;0.905;0.914;0.95;0.882;0.896;0.853;0.876;0.876;0.833;0.862;0.942;1.0;0.943;0.95;0.882;0.943
transcript27_ENSAPOG00000023408;0.722;0.738;0.746;0.913;0.983;0.983;1.0;1.0;0.962;0.905;0.914;0.95;0.882;0.896;0.853;0.876;0.876;0.833;0.862;0.942;1.0;0.943;0.95;0.882;0.943
transcript33_ENSAPOG00000016134;0.738;0.754;0.784;0.952;0.946;0.946;0.962;0.962;1.0;0.871;0.879;0.913;0.849;0.934;0.891;0.914;0.914;0.871;0.9;0.906;0.962;0.98;0.913;0.849;0.98
transcript35_ENSAPOG00000016134;0.698;0.717;0.655;0.824;0.889;0.889;0.905;0.905;0.871;1.0;0.819;0.855;0.787;0.806;0.762;0.786;0.786;0.742;0.772;0.847;0.905;0.855;0.855;0.787;0.855
transcript36_ENSAPOG00000016134;0.745;0.739;0.722;0.924;0.897;0.897;0.914;0.914;0.879;0.819;1.0;0.962;0.933;0.814;0.77;0.794;0.794;0.75;0.78;0.856;0.914;0.863;0.962;0.964;0.863
transcript37_ENSAPOG00000016134;0.758;0.776;0.697;0.96;0.933;0.933;0.95;0.95;0.913;0.855;0.962;1.0;0.9;0.848;0.804;0.828;0.828;0.784;0.814;0.891;0.95;0.895;1.0;0.928;0.895
transcript38_ENSAPOG00000016134;0.712;0.684;0.716;0.866;0.866;0.866;0.882;0.882;0.849;0.787;0.933;0.9;1.0;0.783;0.74;0.764;0.764;0.72;0.75;0.824;0.882;0.833;0.9;0.967;0.833
transcript30_ENSAPOG00000023408;0.673;0.689;0.719;0.886;0.911;0.911;0.896;0.896;0.934;0.806;0.814;0.848;0.783;1.0;0.953;0.849;0.849;0.805;0.835;0.841;0.896;0.916;0.848;0.783;0.916
transcript40_ENSAPOG00000023408;0.629;0.645;0.674;0.843;0.867;0.867;0.853;0.853;0.891;0.762;0.77;0.804;0.74;0.953;1.0;0.805;0.805;0.841;0.791;0.797;0.853;0.873;0.804;0.74;0.873
transcript32_ENSAPOG00000016134;0.652;0.669;0.857;0.866;0.861;0.861;0.876;0.876;0.914;0.786;0.794;0.828;0.764;0.849;0.805;1.0;1.0;0.951;0.986;0.821;0.876;0.896;0.828;0.764;0.896
transcript32_ENSAPOG00000023408;0.652;0.669;0.857;0.866;0.861;0.861;0.876;0.876;0.914;0.786;0.794;0.828;0.764;0.849;0.805;1.0;1.0;0.951;0.986;0.821;0.876;0.896;0.828;0.764;0.896
transcript41_ENSAPOG00000023408;0.609;0.625;0.807;0.823;0.817;0.817;0.833;0.833;0.871;0.742;0.75;0.784;0.72;0.805;0.841;0.951;0.951;1.0;0.936;0.777;0.833;0.853;0.784;0.72;0.853
transcript43_ENSAPOG00000023408;0.66;0.677;0.843;0.852;0.847;0.847;0.862;0.862;0.9;0.772;0.78;0.814;0.75;0.835;0.791;0.986;0.986;0.936;1.0;0.832;0.862;0.883;0.814;0.75;0.883
transcript36_ENSAOCG00000015695;0.736;0.755;0.69;0.858;0.925;0.925;0.942;0.942;0.906;0.847;0.856;0.891;0.824;0.841;0.797;0.821;0.821;0.777;0.832;1.0;0.942;0.889;0.891;0.824;0.889
transcript25_ENSAOCG00000015695;0.722;0.738;0.746;0.913;0.983;0.983;1.0;1.0;0.962;0.905;0.914;0.95;0.882;0.896;0.853;0.876;0.876;0.833;0.862;0.942;1.0;0.943;0.95;0.882;0.943
