;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;0.0;0.0;0.0;0.0;0.917;0.583;0.167;0.167;0.5;0.083;0.833
ENST00000370197_90_90;0.0;1.0;0.8;0.6;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000370198_90_90;0.0;0.8;1.0;0.75;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000426398_90_90;0.0;0.6;0.75;1.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000609116_90_90;0.0;0.8;0.6;0.75;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000029780_90_90;0.917;0.0;0.0;0.0;0.0;1.0;0.5;0.167;0.154;0.583;0.077;0.917
ENSMUST00000195902_90_90;0.583;0.0;0.0;0.0;0.0;0.5;1.0;0.222;0.0;0.455;0.0;0.538
ENSMUST00000197387_90_90;0.167;0.0;0.0;0.0;0.0;0.167;0.222;1.0;0.0;0.286;0.0;0.182
ENSMUST00000197464_90_90;0.167;0.0;0.0;0.0;0.0;0.154;0.0;0.0;1.0;0.25;0.25;0.167
ENSMUST00000197833_90_90;0.5;0.0;0.0;0.0;0.0;0.583;0.455;0.286;0.25;1.0;0.125;0.636
ENSMUST00000198403_90_90;0.083;0.0;0.0;0.0;0.0;0.077;0.0;0.0;0.25;0.125;1.0;0.083
ENSMUST00000200097_90_90;0.833;0.0;0.0;0.0;0.0;0.917;0.538;0.182;0.167;0.636;0.083;1.0
