;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript24_ENSAPOG00000023408;1.0;0.977;0.876;0.765;0.617;0.862;0.862;0.514;0.514;0.729;0.514;0.514;0.514;0.501;0.501;0.501;0.132;0.452;0.704;0.497;0.497;0.497;0.612;0.71;0.71;0.617;0.721;0.503
transcript7_ENSAPOG00000023408;0.977;1.0;0.897;0.785;0.64;0.883;0.883;0.533;0.533;0.747;0.533;0.533;0.533;0.519;0.519;0.519;0.13;0.47;0.721;0.515;0.515;0.515;0.634;0.727;0.727;0.64;0.739;0.521
transcript20_ENSAPOG00000016134;0.876;0.897;1.0;0.856;0.634;0.984;0.984;0.616;0.618;0.832;0.618;0.618;0.618;0.602;0.602;0.602;0.214;0.553;0.804;0.597;0.597;0.597;0.63;0.811;0.811;0.634;0.824;0.604
transcript23_ENSAPOG00000023408;0.765;0.785;0.856;1.0;0.553;0.872;0.872;0.567;0.568;0.737;0.568;0.568;0.568;0.553;0.553;0.553;0.153;0.502;0.716;0.548;0.548;0.548;0.548;0.718;0.718;0.553;0.729;0.555
transcript22_ENSAPOG00000023408;0.617;0.64;0.634;0.553;1.0;0.624;0.624;0.773;0.773;0.528;0.773;0.773;0.773;0.745;0.745;0.745;0.219;0.679;0.512;0.739;0.739;0.739;0.992;0.514;0.514;1.0;0.523;0.749
transcript12_ENSAPOG00000023408;0.862;0.883;0.984;0.872;0.624;1.0;1.0;0.631;0.632;0.846;0.632;0.632;0.632;0.616;0.616;0.616;0.228;0.567;0.817;0.611;0.611;0.611;0.62;0.824;0.824;0.624;0.837;0.618
transcript12_ENSAPOG00000016134;0.862;0.883;0.984;0.872;0.624;1.0;1.0;0.631;0.632;0.846;0.632;0.632;0.632;0.616;0.616;0.616;0.228;0.567;0.817;0.611;0.611;0.611;0.62;0.824;0.824;0.624;0.837;0.618
transcript10_ENSAPOG00000016134;0.514;0.533;0.616;0.567;0.773;0.631;0.631;1.0;0.997;0.682;0.997;0.997;0.997;0.962;0.962;0.962;0.437;0.896;0.662;0.956;0.956;0.956;0.767;0.664;0.664;0.773;0.675;0.967
transcript17_ENSAPOG00000016134;0.514;0.533;0.618;0.568;0.773;0.632;0.632;0.997;1.0;0.684;1.0;1.0;1.0;0.964;0.964;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.666;0.666;0.773;0.676;0.97
transcript8_ENSAPOG00000016134;0.729;0.747;0.832;0.737;0.528;0.846;0.846;0.682;0.684;1.0;0.684;0.684;0.684;0.667;0.667;0.667;0.303;0.621;0.967;0.663;0.663;0.663;0.524;0.974;0.974;0.528;0.969;0.669
