;ENSCAFT00000011068_90_90;ENST00000361272_90_90;ENST00000518021_90_90;ENST00000518541_90_90;ENST00000519918_90_90;ENST00000519954_90_90;ENST00000520178_90_90;ENST00000523917_90_90;ENST00000524358_90_90;ENST00000628418_90_90;ENSMUST00000034012_90_90;ENSMUST00000132032_90_90;ENSMUST00000135269_90_90;ENSMUST00000149992_90_90
ENSCAFT00000011068_90_90;1.0;0.899;0.164;0.258;0.529;0.166;0.238;0.742;0.481;0.166;0.0;0.0;0.0;0.0
ENST00000361272_90_90;0.899;1.0;0.164;0.325;0.603;0.166;0.238;0.825;0.481;0.166;0.0;0.0;0.0;0.0
ENST00000518021_90_90;0.164;0.164;1.0;0.0;0.092;0.514;0.556;0.173;0.315;0.514;0.0;0.0;0.0;0.0
ENST00000518541_90_90;0.258;0.325;0.0;1.0;0.222;0.0;0.0;0.184;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000519918_90_90;0.529;0.603;0.092;0.222;1.0;0.095;0.169;0.649;0.467;0.095;0.0;0.0;0.0;0.0
ENST00000519954_90_90;0.166;0.166;0.514;0.0;0.095;1.0;0.621;0.176;0.322;1.0;0.0;0.0;0.0;0.0
ENST00000520178_90_90;0.238;0.238;0.556;0.0;0.169;0.621;1.0;0.25;0.512;0.621;0.0;0.0;0.0;0.0
ENST00000523917_90_90;0.742;0.825;0.173;0.184;0.649;0.176;0.25;1.0;0.524;0.176;0.0;0.0;0.0;0.0
ENST00000524358_90_90;0.481;0.481;0.315;0.0;0.467;0.322;0.512;0.524;1.0;0.322;0.0;0.0;0.0;0.0
ENST00000628418_90_90;0.166;0.166;0.514;0.0;0.095;1.0;0.621;0.176;0.322;1.0;0.0;0.0;0.0;0.0
ENSMUST00000034012_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.768;1.0
ENSMUST00000132032_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.768;1.0
ENSMUST00000135269_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.768;0.768;1.0;0.768
ENSMUST00000149992_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.768;1.0
