;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.731;0.82;0.82;0.82;0.726;0.82;0.82;0.314;0.573;0.644;0.164;0.611;0.077;0.279;0.784;0.9;0.9;0.928;0.9;0.9;0.399;0.122
ENSCAFT00000043222_90_90;0.731;1.0;0.717;0.717;0.717;0.845;0.717;0.717;0.196;0.463;0.535;0.042;0.706;0.093;0.24;0.679;0.797;0.797;0.825;0.797;0.797;0.282;0.0
ENST00000164247_90_90;0.82;0.717;1.0;1.0;0.94;0.638;0.94;1.0;0.386;0.72;0.685;0.279;0.679;0.04;0.273;0.822;0.875;0.936;0.883;0.875;0.936;0.5;0.242
ENST00000341524_90_90;0.82;0.717;1.0;1.0;0.94;0.638;0.94;1.0;0.386;0.72;0.685;0.279;0.679;0.04;0.273;0.822;0.875;0.936;0.883;0.875;0.936;0.5;0.242
ENST00000352527_90_90;0.82;0.717;0.94;0.94;1.0;0.671;1.0;0.94;0.33;0.66;0.729;0.218;0.72;0.041;0.22;0.766;0.93;0.875;0.826;0.93;0.875;0.436;0.21
ENST00000378083_90_90;0.726;0.845;0.638;0.638;0.671;1.0;0.671;0.638;0.138;0.402;0.452;0.032;0.722;0.043;0.145;0.515;0.694;0.658;0.716;0.694;0.658;0.227;0.0
ENST00000378092_90_90;0.82;0.717;0.94;0.94;1.0;0.671;1.0;0.94;0.33;0.66;0.729;0.218;0.72;0.041;0.22;0.766;0.93;0.875;0.826;0.93;0.875;0.436;0.21
ENST00000378097_90_90;0.82;0.717;1.0;1.0;0.94;0.638;0.94;1.0;0.386;0.72;0.685;0.279;0.679;0.04;0.273;0.822;0.875;0.936;0.883;0.875;0.936;0.5;0.242
ENST00000378111_90_90;0.314;0.196;0.386;0.386;0.33;0.138;0.33;0.386;1.0;0.513;0.404;0.506;0.088;0.065;0.455;0.379;0.34;0.398;0.372;0.34;0.398;0.713;0.419
ENST00000389632_90_90;0.573;0.463;0.72;0.72;0.66;0.402;0.66;0.72;0.513;1.0;0.847;0.38;0.4;0.052;0.357;0.696;0.639;0.699;0.659;0.639;0.699;0.653;0.31
ENST00000428161_90_90;0.644;0.535;0.685;0.685;0.729;0.452;0.729;0.685;0.404;0.847;1.0;0.27;0.458;0.052;0.268;0.661;0.746;0.7;0.659;0.746;0.7;0.523;0.242
ENST00000445501_90_90;0.164;0.042;0.279;0.279;0.218;0.032;0.218;0.279;0.506;0.38;0.27;1.0;0.0;0.0;0.287;0.274;0.218;0.279;0.26;0.218;0.279;0.526;0.768
ENST00000458166_90_90;0.611;0.706;0.679;0.679;0.72;0.722;0.72;0.679;0.088;0.4;0.458;0.0;1.0;0.056;0.093;0.531;0.651;0.616;0.584;0.651;0.616;0.159;0.0
ENST00000462676_90_90;0.077;0.093;0.04;0.04;0.041;0.043;0.041;0.04;0.065;0.052;0.052;0.0;0.056;1.0;0.192;0.038;0.074;0.069;0.065;0.074;0.069;0.141;0.0
ENST00000472700_90_90;0.279;0.24;0.273;0.273;0.22;0.145;0.22;0.273;0.455;0.357;0.268;0.287;0.093;0.192;1.0;0.266;0.274;0.335;0.314;0.274;0.335;0.679;0.242
ENST00000602612_90_90;0.784;0.679;0.822;0.822;0.766;0.515;0.766;0.822;0.379;0.696;0.661;0.274;0.531;0.038;0.266;1.0;0.837;0.897;0.846;0.837;0.897;0.516;0.247
ENSMUST00000030768_90_90;0.9;0.797;0.875;0.875;0.93;0.694;0.93;0.875;0.34;0.639;0.746;0.218;0.651;0.074;0.274;0.837;1.0;0.94;0.885;1.0;0.94;0.434;0.187
ENSMUST00000105648_90_90;0.9;0.797;0.936;0.936;0.875;0.658;0.875;0.936;0.398;0.699;0.7;0.279;0.616;0.069;0.335;0.897;0.94;1.0;0.942;0.94;1.0;0.495;0.218
ENSMUST00000159186_90_90;0.928;0.825;0.883;0.883;0.826;0.716;0.826;0.883;0.372;0.659;0.659;0.26;0.584;0.065;0.314;0.846;0.885;0.942;1.0;0.885;0.942;0.464;0.204
ENSMUST00000159840_90_90;0.9;0.797;0.875;0.875;0.93;0.694;0.93;0.875;0.34;0.639;0.746;0.218;0.651;0.074;0.274;0.837;1.0;0.94;0.885;1.0;0.94;0.434;0.187
ENSMUST00000160884_90_90;0.9;0.797;0.936;0.936;0.875;0.658;0.875;0.936;0.398;0.699;0.7;0.279;0.616;0.069;0.335;0.897;0.94;1.0;0.942;0.94;1.0;0.495;0.218
ENSMUST00000161236_90_90;0.399;0.282;0.5;0.5;0.436;0.227;0.436;0.5;0.713;0.653;0.523;0.526;0.159;0.141;0.679;0.516;0.434;0.495;0.464;0.434;0.495;1.0;0.408
ENSMUST00000162017_90_90;0.122;0.0;0.242;0.242;0.21;0.0;0.21;0.242;0.419;0.31;0.242;0.768;0.0;0.0;0.242;0.247;0.187;0.218;0.204;0.187;0.218;0.408;1.0
