;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.662;0.331;0.324;0.053;0.346;0.32;0.659;0.655;0.108;0.362;0.325;0.268;0.096;0.655;0.658
ENSCAFT00000027149_90_90;0.662;1.0;0.473;0.476;0.061;0.502;0.48;0.971;0.981;0.15;0.479;0.445;0.357;0.141;0.989;0.98
ENST00000256062_90_90;0.331;0.473;1.0;0.878;0.138;0.82;0.78;0.477;0.473;0.274;0.749;0.734;0.506;0.247;0.473;0.477
ENST00000539277_90_90;0.324;0.476;0.878;1.0;0.122;0.934;0.894;0.475;0.485;0.268;0.768;0.753;0.49;0.249;0.496;0.486
ENST00000550354_90_90;0.053;0.061;0.138;0.122;1.0;0.114;0.074;0.061;0.061;0.0;0.112;0.076;0.185;0.0;0.061;0.061
ENST00000551659_90_90;0.346;0.502;0.82;0.934;0.114;1.0;0.96;0.502;0.512;0.271;0.829;0.815;0.556;0.232;0.524;0.514
ENST00000552618_90_90;0.32;0.48;0.78;0.894;0.074;0.96;1.0;0.479;0.489;0.283;0.805;0.836;0.529;0.238;0.5;0.49
ENST00000373701_90_90;0.659;0.971;0.477;0.475;0.061;0.502;0.479;1.0;0.99;0.145;0.512;0.476;0.347;0.131;0.99;0.999
ENST00000373719_90_90;0.655;0.981;0.473;0.485;0.061;0.512;0.489;0.99;1.0;0.149;0.508;0.473;0.354;0.139;0.999;0.99
ENST00000444774_90_90;0.108;0.15;0.274;0.268;0.0;0.271;0.283;0.145;0.149;1.0;0.251;0.268;0.423;0.889;0.149;0.145
ENSMUST00000060095_90_90;0.362;0.479;0.749;0.768;0.112;0.829;0.805;0.512;0.508;0.251;1.0;0.96;0.541;0.209;0.514;0.517
ENSMUST00000100772_90_90;0.325;0.445;0.734;0.753;0.076;0.815;0.836;0.476;0.473;0.268;0.96;1.0;0.502;0.218;0.478;0.481
ENSMUST00000140797_90_90;0.268;0.357;0.506;0.49;0.185;0.556;0.529;0.347;0.354;0.423;0.541;0.502;1.0;0.366;0.355;0.348
ENSMUST00000203991_90_90;0.096;0.141;0.247;0.249;0.0;0.232;0.238;0.131;0.139;0.889;0.209;0.218;0.366;1.0;0.14;0.132
ENSMUST00000044475_90_90;0.655;0.989;0.473;0.496;0.061;0.524;0.5;0.99;0.999;0.149;0.514;0.478;0.355;0.14;1.0;0.99
ENSMUST00000119299_90_90;0.658;0.98;0.477;0.486;0.061;0.514;0.49;0.999;0.99;0.145;0.517;0.481;0.348;0.132;0.99;1.0
