;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;1.0;0.963;1.0;0.964;1.0;0.072;1.0;1.0;0.963;0.964
ENST00000307972_90_90;1.0;1.0;0.965;1.0;0.924;0.958;0.065;1.0;0.956;0.963;0.919
ENST00000373057_90_90;0.963;0.965;1.0;0.965;0.889;0.923;0.068;0.963;0.918;1.0;0.882
ENST00000373060_90_90;1.0;1.0;0.965;1.0;0.924;0.958;0.065;1.0;0.956;0.963;0.919
ENST00000373063_90_90;0.964;0.924;0.889;0.924;1.0;0.964;0.07;0.919;0.961;0.882;1.0
ENST00000409208_90_90;1.0;0.958;0.923;0.958;0.964;1.0;0.068;0.956;1.0;0.918;0.961
ENST00000451305_90_90;0.072;0.065;0.068;0.065;0.07;0.068;1.0;0.071;0.075;0.074;0.078
ENSMUST00000097311_90_90;1.0;1.0;0.963;1.0;0.919;0.956;0.071;1.0;0.963;0.97;0.935
ENSMUST00000113262_90_90;1.0;0.956;0.918;0.956;0.961;1.0;0.075;0.963;1.0;0.934;0.97
ENSMUST00000113263_90_90;0.963;0.963;1.0;0.963;0.882;0.918;0.074;0.97;0.934;1.0;0.905
ENSMUST00000113265_90_90;0.964;0.919;0.882;0.919;1.0;0.961;0.078;0.935;0.97;0.905;1.0
