;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;1.0;0.935;0.935;0.323;0.258;0.968;0.903;0.968;0.9;0.95;0.85;0.25;1.0;0.85
ENST00000248933_90_90;1.0;1.0;0.943;0.943;0.286;0.229;0.971;0.914;0.971;0.889;0.944;0.833;0.278;1.0;0.833
ENST00000343706_90_90;0.935;0.943;1.0;0.941;0.229;0.242;0.914;0.912;0.971;0.778;0.833;0.824;0.167;0.889;0.938
ENST00000360929_90_90;0.935;0.943;0.941;1.0;0.229;0.206;0.914;0.912;0.971;0.778;0.833;0.722;0.235;0.889;0.824
ENST00000402979_90_90;0.323;0.286;0.229;0.229;1.0;0.8;0.294;0.235;0.257;0.412;0.471;0.353;0.625;0.444;0.353
ENST00000403121_90_90;0.258;0.229;0.242;0.206;0.8;1.0;0.235;0.212;0.235;0.294;0.353;0.312;0.375;0.333;0.4
ENST00000404234_90_90;0.968;0.971;0.914;0.914;0.294;0.235;1.0;0.941;0.943;0.941;1.0;0.882;0.294;0.944;0.882
ENST00000529632_90_90;0.903;0.914;0.912;0.912;0.235;0.212;0.941;1.0;0.941;0.938;0.882;0.875;0.176;0.833;0.875
ENST00000629590_90_90;0.968;0.971;0.971;0.971;0.257;0.235;0.943;0.941;1.0;0.833;0.889;0.778;0.222;0.944;0.882
ENSMUST00000075387_90_90;0.9;0.889;0.778;0.778;0.412;0.294;0.941;0.938;0.833;1.0;0.95;0.947;0.2;0.905;0.85
ENSMUST00000079491_90_90;0.95;0.944;0.833;0.833;0.471;0.353;1.0;0.882;0.889;0.95;1.0;0.9;0.25;0.952;0.9
ENSMUST00000197425_90_90;0.85;0.833;0.824;0.722;0.353;0.312;0.882;0.875;0.778;0.947;0.9;1.0;0.15;0.857;0.895
ENSMUST00000200575_90_90;0.25;0.278;0.167;0.235;0.625;0.375;0.294;0.176;0.222;0.2;0.25;0.15;1.0;0.238;0.15
ENSMUST00000212480_90_90;1.0;1.0;0.889;0.889;0.444;0.333;0.944;0.833;0.944;0.905;0.952;0.857;0.238;1.0;0.857
ENSMUST00000212758_90_90;0.85;0.833;0.938;0.824;0.353;0.4;0.882;0.875;0.882;0.85;0.9;0.895;0.15;0.857;1.0
