;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.552;0.364;0.364;0.387;0.559;0.387;0.364;0.167;0.258;0.345;0.069;0.31;0.074;0.2;0.364;0.536;0.5;0.516;0.536;0.5;0.241;0.0
ENSCAFT00000043222_90_90;0.552;1.0;0.667;0.667;0.583;0.371;0.583;0.667;0.429;0.545;0.545;0.3;0.375;0.091;0.409;0.667;0.727;0.818;0.826;0.727;0.818;0.476;0.15
ENST00000164247_90_90;0.364;0.667;1.0;1.0;0.9;0.5;0.9;1.0;0.429;0.7;0.619;0.3;0.65;0.043;0.348;0.818;0.583;0.667;0.615;0.583;0.667;0.409;0.15
ENST00000341524_90_90;0.364;0.667;1.0;1.0;0.9;0.5;0.9;1.0;0.429;0.7;0.619;0.3;0.65;0.043;0.348;0.818;0.583;0.667;0.615;0.583;0.667;0.409;0.15
ENST00000352527_90_90;0.387;0.583;0.9;0.9;1.0;0.533;1.0;0.9;0.333;0.6;0.684;0.2;0.722;0.048;0.261;0.727;0.636;0.583;0.538;0.636;0.583;0.318;0.105
ENST00000378083_90_90;0.559;0.371;0.5;0.5;0.533;1.0;0.533;0.5;0.152;0.312;0.355;0.062;0.464;0.032;0.147;0.412;0.353;0.333;0.389;0.353;0.333;0.147;0.0
ENST00000378092_90_90;0.387;0.583;0.9;0.9;1.0;0.533;1.0;0.9;0.333;0.6;0.684;0.2;0.722;0.048;0.261;0.727;0.636;0.583;0.538;0.636;0.583;0.318;0.105
ENST00000378097_90_90;0.364;0.667;1.0;1.0;0.9;0.5;0.9;1.0;0.429;0.7;0.619;0.3;0.65;0.043;0.348;0.818;0.583;0.667;0.615;0.583;0.667;0.409;0.15
ENST00000378111_90_90;0.167;0.429;0.429;0.429;0.333;0.152;0.333;0.429;1.0;0.6;0.412;0.6;0.095;0.077;0.615;0.429;0.273;0.364;0.333;0.273;0.364;0.615;0.3
ENST00000389632_90_90;0.258;0.545;0.7;0.7;0.6;0.312;0.6;0.7;0.6;1.0;0.75;0.429;0.35;0.059;0.471;0.7;0.455;0.545;0.5;0.455;0.545;0.562;0.214
ENST00000428161_90_90;0.345;0.545;0.619;0.619;0.684;0.355;0.684;0.619;0.412;0.75;1.0;0.25;0.421;0.059;0.316;0.619;0.6;0.545;0.5;0.6;0.545;0.389;0.133
ENST00000445501_90_90;0.069;0.3;0.3;0.3;0.2;0.062;0.2;0.3;0.6;0.429;0.25;1.0;0.0;0.0;0.417;0.3;0.143;0.238;0.217;0.143;0.238;0.417;0.5
ENST00000458166_90_90;0.31;0.375;0.65;0.65;0.722;0.464;0.722;0.65;0.095;0.35;0.421;0.0;1.0;0.062;0.091;0.5;0.476;0.435;0.4;0.476;0.435;0.143;0.0
ENST00000462676_90_90;0.074;0.091;0.043;0.043;0.048;0.032;0.048;0.043;0.077;0.059;0.059;0.0;0.062;1.0;0.25;0.043;0.1;0.091;0.083;0.1;0.091;0.154;0.0
ENST00000472700_90_90;0.2;0.409;0.348;0.348;0.261;0.147;0.261;0.348;0.615;0.471;0.316;0.417;0.091;0.25;1.0;0.348;0.261;0.348;0.32;0.261;0.348;0.571;0.167
ENST00000602612_90_90;0.364;0.667;0.818;0.818;0.727;0.412;0.727;0.818;0.429;0.7;0.619;0.3;0.5;0.043;0.348;1.0;0.583;0.667;0.615;0.583;0.667;0.409;0.15
ENSMUST00000030768_90_90;0.536;0.727;0.583;0.583;0.636;0.353;0.636;0.583;0.273;0.455;0.6;0.143;0.476;0.1;0.261;0.583;1.0;0.9;0.818;1.0;0.9;0.45;0.105
ENSMUST00000105648_90_90;0.5;0.818;0.667;0.667;0.583;0.333;0.583;0.667;0.364;0.545;0.545;0.238;0.435;0.091;0.348;0.667;0.9;1.0;0.909;0.9;1.0;0.55;0.15
ENSMUST00000159186_90_90;0.516;0.826;0.615;0.615;0.538;0.389;0.538;0.615;0.333;0.5;0.5;0.217;0.4;0.083;0.32;0.615;0.818;0.909;1.0;0.818;0.909;0.5;0.136
ENSMUST00000159840_90_90;0.536;0.727;0.583;0.583;0.636;0.353;0.636;0.583;0.273;0.455;0.6;0.143;0.476;0.1;0.261;0.583;1.0;0.9;0.818;1.0;0.9;0.45;0.105
ENSMUST00000160884_90_90;0.5;0.818;0.667;0.667;0.583;0.333;0.583;0.667;0.364;0.545;0.545;0.238;0.435;0.091;0.348;0.667;0.9;1.0;0.909;0.9;1.0;0.55;0.15
ENSMUST00000161236_90_90;0.241;0.476;0.409;0.409;0.318;0.147;0.318;0.409;0.615;0.562;0.389;0.417;0.143;0.154;0.571;0.409;0.45;0.55;0.5;0.45;0.55;1.0;0.273
ENSMUST00000162017_90_90;0.0;0.15;0.15;0.15;0.105;0.0;0.105;0.15;0.3;0.214;0.133;0.5;0.0;0.0;0.167;0.15;0.105;0.15;0.136;0.105;0.15;0.273;1.0
