;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.949;1.0;0.244;0.075;1.0;0.271;0.949;0.321;0.154;0.407
ENST00000348628_90_90;0.949;1.0;0.912;0.277;0.071;0.912;0.307;1.0;0.283;0.186;0.43
ENST00000398376_90_90;1.0;0.912;1.0;0.246;0.064;1.0;0.283;0.912;0.371;0.165;0.385
ENST00000510347_90_90;0.244;0.277;0.246;1.0;0.0;0.246;0.0;0.277;0.0;0.566;0.419
ENST00000515758_90_90;0.075;0.071;0.064;0.0;1.0;0.064;0.0;0.071;0.0;0.0;0.165
ENSMUST00000025519_90_90;1.0;0.912;1.0;0.246;0.064;1.0;0.266;0.912;0.349;0.155;0.361
ENSMUST00000039904_90_90;0.271;0.307;0.283;0.0;0.0;0.266;1.0;0.287;0.806;0.0;0.0
ENSMUST00000102888_90_90;0.949;1.0;0.912;0.277;0.071;0.912;0.287;1.0;0.266;0.174;0.399
ENSMUST00000115295_90_90;0.321;0.283;0.371;0.0;0.0;0.349;0.806;0.266;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.154;0.186;0.165;0.566;0.0;0.155;0.0;0.174;0.0;1.0;0.173
ENSMUST00000137805_90_90;0.407;0.43;0.385;0.419;0.165;0.361;0.0;0.399;0.0;0.173;1.0
