;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.775;0.591;0.605;0.077;0.333;0.025;0.1;0.512;0.61;0.561;0.158;0.333
ENSCAFT00000042737_90_90;0.775;1.0;0.718;0.784;0.054;0.361;0.027;0.079;0.595;0.575;0.649;0.108;0.4
ENST00000373836_90_90;0.591;0.718;1.0;0.912;0.027;0.333;0.0;0.143;0.487;0.55;0.538;0.143;0.333
ENST00000373839_90_90;0.605;0.784;0.912;1.0;0.057;0.382;0.029;0.083;0.541;0.525;0.595;0.114;0.382
ENST00000493669_90_90;0.077;0.054;0.027;0.057;1.0;0.25;0.125;0.333;0.071;0.097;0.067;0.333;0.111
ENST00000632202_90_90;0.333;0.361;0.333;0.382;0.25;1.0;0.056;0.294;0.29;0.333;0.355;0.294;0.429
ENST00000632421_90_90;0.025;0.027;0.0;0.029;0.125;0.056;1.0;0.0;0.036;0.0;0.033;0.0;0.056
ENST00000633167_90_90;0.1;0.079;0.143;0.083;0.333;0.294;0.0;1.0;0.067;0.161;0.097;0.4;0.1
ENSMUST00000084170_90_90;0.512;0.595;0.487;0.541;0.071;0.29;0.036;0.067;1.0;0.8;0.926;0.143;0.6
ENSMUST00000084249_90_90;0.61;0.575;0.55;0.525;0.097;0.333;0.0;0.161;0.8;1.0;0.867;0.241;0.467
ENSMUST00000102568_90_90;0.561;0.649;0.538;0.595;0.067;0.355;0.033;0.097;0.926;0.867;1.0;0.133;0.556
ENSMUST00000136711_90_90;0.158;0.108;0.143;0.114;0.333;0.294;0.0;0.4;0.143;0.241;0.133;1.0;0.222
ENSMUST00000152271_90_90;0.333;0.4;0.333;0.382;0.111;0.429;0.056;0.1;0.6;0.467;0.556;0.222;1.0
