;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.964;0.593;0.584;0.893;0.997;0.952;0.917;0.676;0.86;0.865;0.964;0.676;0.676;0.847;0.917
transcript6_ENSECAG00000007947;0.964;1.0;0.575;0.599;0.869;0.961;0.993;0.96;0.703;0.899;0.902;1.0;0.703;0.703;0.883;0.96
transcript8_ENSMPUG00000020072;0.593;0.575;1.0;0.967;0.526;0.591;0.585;0.564;0.46;0.504;0.508;0.575;0.46;0.46;0.491;0.564
transcript8_ENSECAG00000007947;0.584;0.599;0.967;1.0;0.518;0.581;0.609;0.589;0.477;0.524;0.527;0.599;0.477;0.477;0.51;0.589
transcript10_ENSMPUG00000020072;0.893;0.869;0.526;0.518;1.0;0.89;0.877;0.909;0.609;0.961;0.965;0.869;0.609;0.609;0.839;0.909
transcript13_ENSMPUG00000020072;0.997;0.961;0.591;0.581;0.89;1.0;0.948;0.913;0.678;0.857;0.861;0.961;0.678;0.678;0.844;0.913
transcript4_ENSECAG00000007947;0.952;0.993;0.585;0.609;0.877;0.948;1.0;0.967;0.711;0.907;0.909;0.993;0.711;0.711;0.89;0.967
transcript7_ENSECAG00000007947;0.917;0.96;0.564;0.589;0.909;0.913;0.967;1.0;0.687;0.941;0.943;0.96;0.687;0.687;0.923;1.0
transcript14_ENSECAG00000007947;0.676;0.703;0.46;0.477;0.609;0.678;0.711;0.687;1.0;0.624;0.627;0.703;1.0;1.0;0.609;0.687
transcript15_ENSECAG00000007947;0.86;0.899;0.504;0.524;0.961;0.857;0.907;0.941;0.624;1.0;0.998;0.899;0.624;0.624;0.863;0.941
transcript16_ENSECAG00000007947;0.865;0.902;0.508;0.527;0.965;0.861;0.909;0.943;0.627;0.998;1.0;0.902;0.627;0.627;0.866;0.943
transcript17_ENSECAG00000007947;0.964;1.0;0.575;0.599;0.869;0.961;0.993;0.96;0.703;0.899;0.902;1.0;0.703;0.703;0.883;0.96
transcript18_ENSECAG00000007947;0.676;0.703;0.46;0.477;0.609;0.678;0.711;0.687;1.0;0.624;0.627;0.703;1.0;1.0;0.609;0.687
transcript19_ENSECAG00000007947;0.676;0.703;0.46;0.477;0.609;0.678;0.711;0.687;1.0;0.624;0.627;0.703;1.0;1.0;0.609;0.687
transcript20_ENSECAG00000007947;0.847;0.883;0.491;0.51;0.839;0.844;0.89;0.923;0.609;0.863;0.866;0.883;0.609;0.609;1.0;0.923
transcript21_ENSECAG00000007947;0.917;0.96;0.564;0.589;0.909;0.913;0.967;1.0;0.687;0.941;0.943;0.96;0.687;0.687;0.923;1.0
