;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.99;0.857;0.424;0.988;0.461;0.998;0.996;0.402;0.124
ENST00000248450_90_90;0.99;1.0;0.865;0.425;0.998;0.462;0.992;0.989;0.402;0.121
ENST00000420660_90_90;0.857;0.865;1.0;0.444;0.867;0.484;0.857;0.859;0.421;0.18
ENST00000422731_90_90;0.424;0.425;0.444;1.0;0.424;0.0;0.424;0.423;0.225;0.0
ENST00000444053_90_90;0.988;0.998;0.867;0.424;1.0;0.461;0.989;0.992;0.402;0.121
ENST00000447885_90_90;0.461;0.462;0.484;0.0;0.461;1.0;0.461;0.46;0.404;0.212
ENSMUST00000006462_90_90;0.998;0.992;0.857;0.424;0.989;0.461;1.0;0.998;0.402;0.124
ENSMUST00000178235_90_90;0.996;0.989;0.859;0.423;0.992;0.46;0.998;1.0;0.401;0.123
ENSMUST00000187046_90_90;0.402;0.402;0.421;0.225;0.402;0.404;0.402;0.401;1.0;0.163
ENSMUST00000190008_90_90;0.124;0.121;0.18;0.0;0.121;0.212;0.124;0.123;0.163;1.0
