;ENSCAFT00000021663_90_90;ENSCAFT00000021664_90_90;ENST00000252268_90_90;ENST00000415073_90_90;ENST00000528416_90_90;ENST00000531989_90_90;ENST00000532102_90_90;ENSMUST00000025746_90_90;ENSMUST00000118623_90_90;ENSMUST00000136983_90_90
ENSCAFT00000021663_90_90;1.0;0.937;0.937;0.465;1.0;0.298;0.285;0.573;0.937;1.0
ENSCAFT00000021664_90_90;0.937;1.0;1.0;0.438;0.937;0.279;0.268;0.536;1.0;0.937
ENST00000252268_90_90;0.937;1.0;1.0;0.438;0.937;0.279;0.268;0.536;1.0;0.937
ENST00000415073_90_90;0.465;0.438;0.438;1.0;0.465;0.179;0.436;0.303;0.438;0.465
ENST00000528416_90_90;1.0;0.937;0.937;0.465;1.0;0.298;0.285;0.573;0.937;1.0
ENST00000531989_90_90;0.298;0.279;0.279;0.179;0.298;1.0;0.0;0.096;0.279;0.298
ENST00000532102_90_90;0.285;0.268;0.268;0.436;0.285;0.0;1.0;0.262;0.268;0.285
ENSMUST00000025746_90_90;0.573;0.536;0.536;0.303;0.573;0.096;0.262;1.0;0.536;0.573
ENSMUST00000118623_90_90;0.937;1.0;1.0;0.438;0.937;0.279;0.268;0.536;1.0;0.937
ENSMUST00000136983_90_90;1.0;0.937;0.937;0.465;1.0;0.298;0.285;0.573;0.937;1.0
