;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;;;;0.882;0.855;0.926;0.166;0.18;0.901;0.774;0.884;0.799;0.18;0.194;0.067;0.771
ENSCAFT00000001399_90_90;;;;0.889;0.913;0.82;0.175;0.192;0.796;0.821;0.748;0.803;0.192;0.206;0.073;0.774
ENSCAFT00000001401_90_90;;;;0.621;0.641;0.567;0.263;0.0;0.542;0.552;0.499;0.539;0.0;0.302;0.103;0.51
ENST00000378735_90_90;0.882;0.889;0.621;;;;;;;0.819;0.784;0.846;0.191;0.205;0.073;0.816
ENST00000378746_90_90;0.855;0.913;0.641;;;;;;;0.838;0.76;0.819;0.195;0.21;0.076;0.789
ENST00000403231_90_90;0.926;0.82;0.567;;;;;;;0.76;0.829;0.784;0.177;0.19;0.064;0.757
ENST00000428744_90_90;0.166;0.175;0.263;;;;;;;0.179;0.163;0.175;0.0;0.635;0.169;0.18
ENST00000450441_90_90;0.18;0.192;0.0;;;;;;;0.195;0.177;0.191;1.0;0.0;0.0;0.196
ENST00000618515_90_90;0.901;0.796;0.542;;;;;;;0.738;0.806;0.761;0.18;0.194;0.067;0.735
ENSMUST00000057330_90_90;0.774;0.821;0.552;0.819;0.838;0.76;0.179;0.195;0.738;;;;;;;
ENSMUST00000118353_90_90;0.884;0.748;0.499;0.784;0.76;0.829;0.163;0.177;0.806;;;;;;;
ENSMUST00000120613_90_90;0.799;0.803;0.539;0.846;0.819;0.784;0.175;0.191;0.761;;;;;;;
ENSMUST00000130037_90_90;0.18;0.192;0.0;0.191;0.195;0.177;0.0;1.0;0.18;;;;;;;
ENSMUST00000132496_90_90;0.194;0.206;0.302;0.205;0.21;0.19;0.635;0.0;0.194;;;;;;;
ENSMUST00000132653_90_90;0.067;0.073;0.103;0.073;0.076;0.064;0.169;0.0;0.067;;;;;;;
ENSMUST00000173744_90_90;0.771;0.774;0.51;0.816;0.789;0.757;0.18;0.196;0.735;;;;;;;
