;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;;0.368;0.286;0.286;0.465;0.093;0.239;0.2;0.311;0.096;0.284;0.319;0.319;0.319;0.241;0.453;0.093;0.096;0.869;0.869;0.782;0.619;0.375;0.36
ENST00000249647_90_90;0.368;;;;;;;;;;;;;;;;;;0.398;0.398;0.366;0.275;0.324;0.312
ENST00000349777_90_90;0.286;;;;;;;;;;;;;;;;;;0.324;0.324;0.291;0.44;0.531;0.518
ENST00000397138_90_90;0.286;;;;;;;;;;;;;;;;;;0.324;0.324;0.291;0.44;0.531;0.518
ENST00000561526_90_90;0.465;;;;;;;;;;;;;;;;;;0.502;0.502;0.457;0.362;0.472;0.469
ENST00000563765_90_90;0.093;;;;;;;;;;;;;;;;;;0.122;0.122;0.111;0.172;0.227;0.263
ENST00000563830_90_90;0.239;;;;;;;;;;;;;;;;;;0.244;0.244;0.223;0.107;0.13;0.108
ENST00000563873_90_90;0.2;;;;;;;;;;;;;;;;;;0.205;0.205;0.184;0.284;0.359;0.331
ENST00000564153_90_90;0.311;;;;;;;;;;;;;;;;;;0.351;0.351;0.315;0.489;0.613;0.606
ENST00000566035_90_90;0.096;;;;;;;;;;;;;;;;;;0.126;0.126;0.113;0.177;0.238;0.277
ENST00000566327_90_90;0.284;;;;;;;;;;;;;;;;;;0.29;0.29;0.264;0.146;0.177;0.157
ENST00000567094_90_90;0.319;;;;;;;;;;;;;;;;;;0.353;0.353;0.412;0.477;0.644;0.649
ENST00000568331_90_90;0.319;;;;;;;;;;;;;;;;;;0.353;0.353;0.412;0.477;0.644;0.649
ENST00000568451_90_90;0.319;;;;;;;;;;;;;;;;;;0.353;0.353;0.412;0.477;0.644;0.649
ENST00000568841_90_90;0.241;;;;;;;;;;;;;;;;;;0.246;0.246;0.225;0.108;0.132;0.111
ENST00000568859_90_90;0.453;;;;;;;;;;;;;;;;;;0.494;0.494;0.447;0.399;0.535;0.536
ENST00000626061_90_90;0.093;;;;;;;;;;;;;;;;;;0.122;0.122;0.111;0.172;0.227;0.263
ENST00000627440_90_90;0.096;;;;;;;;;;;;;;;;;;0.126;0.126;0.113;0.177;0.238;0.277
ENSMUST00000028743_90_90;0.869;0.398;0.324;0.324;0.502;0.122;0.244;0.205;0.351;0.126;0.29;0.353;0.353;0.353;0.246;0.494;0.122;0.126;;;;;;
ENSMUST00000110711_90_90;0.869;0.398;0.324;0.324;0.502;0.122;0.244;0.205;0.351;0.126;0.29;0.353;0.353;0.353;0.246;0.494;0.122;0.126;;;;;;
ENSMUST00000116437_90_90;0.782;0.366;0.291;0.291;0.457;0.111;0.223;0.184;0.315;0.113;0.264;0.412;0.412;0.412;0.225;0.447;0.111;0.113;;;;;;
ENSMUST00000142278_90_90;0.619;0.275;0.44;0.44;0.362;0.172;0.107;0.284;0.489;0.177;0.146;0.477;0.477;0.477;0.108;0.399;0.172;0.177;;;;;;
ENSMUST00000150611_90_90;0.375;0.324;0.531;0.531;0.472;0.227;0.13;0.359;0.613;0.238;0.177;0.644;0.644;0.644;0.132;0.535;0.227;0.238;;;;;;
ENSMUST00000153580_90_90;0.36;0.312;0.518;0.518;0.469;0.263;0.108;0.331;0.606;0.277;0.157;0.649;0.649;0.649;0.111;0.536;0.263;0.277;;;;;;
