;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.8;0.667;0.733;0.267;0.733;0.533;0.267;0.333;1.0;0.857;0.857;0.786
ENST00000265165_90_90;0.8;1.0;0.75;0.867;0.375;0.765;0.625;0.176;0.278;0.786;0.769;0.6;0.643
ENST00000379951_90_90;0.667;0.75;1.0;0.857;0.25;0.647;0.6;0.2;0.167;0.6;0.692;0.438;0.833
ENST00000438313_90_90;0.733;0.867;0.857;1.0;0.25;0.647;0.714;0.2;0.167;0.714;0.833;0.533;0.692
ENST00000504950_90_90;0.267;0.375;0.25;0.25;1.0;0.375;0.385;0.333;0.5;0.267;0.214;0.385;0.214
ENST00000506680_90_90;0.733;0.765;0.647;0.647;0.375;1.0;0.444;0.176;0.278;0.714;0.692;0.533;0.692
ENST00000510624_90_90;0.533;0.625;0.6;0.714;0.385;0.444;1.0;0.333;0.267;0.533;0.615;0.692;0.5
ENST00000512172_90_90;0.267;0.176;0.2;0.2;0.333;0.176;0.333;1.0;0.444;0.267;0.214;0.385;0.214
ENST00000515500_90_90;0.333;0.278;0.167;0.167;0.5;0.278;0.267;0.444;1.0;0.333;0.286;0.462;0.286
ENSMUST00000029611_90_90;1.0;0.786;0.6;0.714;0.267;0.714;0.533;0.267;0.333;1.0;0.857;0.8;0.733
ENSMUST00000066849_90_90;0.857;0.769;0.692;0.833;0.214;0.692;0.615;0.214;0.286;0.857;1.0;0.667;0.846
ENSMUST00000098611_90_90;0.857;0.6;0.438;0.533;0.385;0.533;0.692;0.385;0.462;0.8;0.667;1.0;0.562
ENSMUST00000106341_90_90;0.786;0.643;0.833;0.692;0.214;0.692;0.5;0.214;0.286;0.733;0.846;0.562;1.0
