;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.4;0.983;0.3;0.353;0.529;0.788;0.728;0.275;0.342;0.785;0.979;0.42;0.266;0.287
ENST00000311089_90_90;0.4;1.0;0.405;0.74;0.0;0.748;0.51;0.426;0.0;0.828;0.503;0.4;0.0;0.559;0.0
ENST00000553645_90_90;0.983;0.405;1.0;0.3;0.353;0.542;0.795;0.728;0.275;0.337;0.785;0.979;0.42;0.264;0.287
ENST00000554113_90_90;0.3;0.74;0.3;1.0;0.0;0.553;0.377;0.412;0.0;0.877;0.377;0.3;0.0;0.551;0.0
ENST00000554159_90_90;0.353;0.0;0.353;0.0;1.0;0.109;0.275;0.297;0.393;0.0;0.272;0.35;0.417;0.0;0.409
ENST00000554339_90_90;0.529;0.748;0.542;0.553;0.109;1.0;0.671;0.588;0.022;0.621;0.664;0.529;0.0;0.445;0.0
ENST00000554871_90_90;0.788;0.51;0.795;0.377;0.275;0.671;1.0;0.916;0.347;0.424;0.987;0.785;0.237;0.323;0.102
ENST00000555631_90_90;0.728;0.426;0.728;0.412;0.297;0.588;0.916;1.0;0.378;0.463;0.912;0.725;0.253;0.346;0.108
ENST00000555919_90_90;0.275;0.0;0.275;0.0;0.393;0.022;0.347;0.378;1.0;0.0;0.344;0.273;0.456;0.0;0.197
ENST00000559993_90_90;0.342;0.828;0.337;0.877;0.0;0.621;0.424;0.463;0.0;1.0;0.424;0.337;0.0;0.64;0.0
ENSMUST00000046340_90_90;0.785;0.503;0.785;0.377;0.272;0.664;0.987;0.912;0.344;0.424;1.0;0.795;0.239;0.321;0.102
ENSMUST00000123491_90_90;0.979;0.4;0.979;0.3;0.35;0.529;0.785;0.725;0.273;0.337;0.795;1.0;0.429;0.262;0.293
ENSMUST00000136159_90_90;0.42;0.0;0.42;0.0;0.417;0.0;0.237;0.253;0.456;0.0;0.239;0.429;1.0;0.0;0.513
ENSMUST00000140812_90_90;0.266;0.559;0.264;0.551;0.0;0.445;0.323;0.346;0.0;0.64;0.321;0.262;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.287;0.0;0.287;0.0;0.409;0.0;0.102;0.108;0.197;0.0;0.102;0.293;0.513;0.0;1.0
