;ENSCAFT00000002592_90_90;ENST00000380321_90_90;ENST00000380338_90_90;ENST00000629733_90_90;ENST00000630269_90_90;ENSMUST00000078090_90_90;ENSMUST00000126353_90_90;ENSMUST00000142454_90_90;ENSMUST00000148059_90_90;ENSMUST00000149357_90_90
ENSCAFT00000002592_90_90;1.0;0.343;1.0;0.222;0.946;1.0;0.222;0.103;0.148;0.343
ENST00000380321_90_90;0.343;1.0;0.325;0.676;0.326;0.343;0.676;0.0;0.416;1.0
ENST00000380338_90_90;1.0;0.325;1.0;0.212;0.912;1.0;0.222;0.103;0.148;0.343
ENST00000629733_90_90;0.222;0.676;0.212;1.0;0.213;0.222;1.0;0.0;0.311;0.676
ENST00000630269_90_90;0.946;0.326;0.912;0.213;1.0;0.946;0.233;0.108;0.159;0.365
ENSMUST00000078090_90_90;1.0;0.343;1.0;0.222;0.946;1.0;0.205;0.123;0.131;0.309
ENSMUST00000126353_90_90;0.222;0.676;0.222;1.0;0.233;0.205;1.0;0.0;0.311;0.676
ENSMUST00000142454_90_90;0.103;0.0;0.103;0.0;0.108;0.123;0.0;1.0;0.0;0.0
ENSMUST00000148059_90_90;0.148;0.416;0.148;0.311;0.159;0.131;0.311;0.0;1.0;0.416
ENSMUST00000149357_90_90;0.343;1.0;0.343;0.676;0.365;0.309;0.676;0.0;0.416;1.0
