;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.522;0.522;0.522;0.192;0.0;0.539;0.0;0.544;0.539;0.526;0.0;0.526;0.527;0.549
ENST00000355221_90_90;0.522;1.0;0.96;0.96;0.152;0.744;0.451;0.128;0.279;0.427;0.956;0.308;0.998;0.889;0.548
ENST00000359530_90_90;0.522;0.96;1.0;1.0;0.146;0.784;0.431;0.168;0.267;0.409;0.998;0.294;0.956;0.93;0.524
ENST00000396774_90_90;0.522;0.96;1.0;1.0;0.146;0.784;0.431;0.168;0.267;0.409;0.998;0.294;0.956;0.93;0.524
ENST00000519588_90_90;0.192;0.152;0.146;0.146;1.0;0.103;0.343;0.0;0.321;0.356;0.157;0.207;0.164;0.166;0.284
ENST00000520188_90_90;0.0;0.744;0.784;0.784;0.103;1.0;0.216;0.216;0.052;0.194;0.816;0.387;0.774;0.748;0.341
ENST00000521275_90_90;0.539;0.451;0.431;0.431;0.343;0.216;1.0;0.0;0.569;0.963;0.413;0.503;0.432;0.439;0.763
ENST00000522849_90_90;0.0;0.128;0.168;0.168;0.0;0.216;0.0;1.0;0.0;0.0;0.18;0.061;0.138;0.193;0.131
ENST00000524164_90_90;0.544;0.279;0.267;0.267;0.321;0.052;0.569;0.0;1.0;0.594;0.238;0.102;0.249;0.252;0.414
ENST00000524234_90_90;0.539;0.427;0.409;0.409;0.356;0.194;0.963;0.0;0.594;1.0;0.388;0.467;0.407;0.412;0.73
ENSMUST00000044369_90_90;0.526;0.956;0.998;0.998;0.157;0.816;0.413;0.18;0.238;0.388;1.0;0.284;0.959;0.934;0.531
ENSMUST00000192029_90_90;0.0;0.308;0.294;0.294;0.207;0.387;0.503;0.061;0.102;0.467;0.284;1.0;0.297;0.302;0.54
ENSMUST00000192698_90_90;0.526;0.998;0.956;0.956;0.164;0.774;0.432;0.138;0.249;0.407;0.959;0.297;1.0;0.893;0.555
ENSMUST00000192847_90_90;0.527;0.889;0.93;0.93;0.166;0.748;0.439;0.193;0.252;0.412;0.934;0.302;0.893;1.0;0.564
ENSMUST00000194676_90_90;0.549;0.548;0.524;0.524;0.284;0.341;0.763;0.131;0.414;0.73;0.531;0.54;0.555;0.564;1.0
