id_transcript;id_transcript;orthologs
ENSCAFT00000016185_90_90;ENSCAFT00000016185_90_90;ENST00000617070_90_90:ENST00000617991_90_90:ENST00000623597_90_90
ENST00000617070_90_90;ENST00000617070_90_90;ENSCAFT00000016185_90_90
ENST00000617991_90_90;ENST00000617991_90_90;ENSCAFT00000016185_90_90
ENST00000622969_90_90;ENST00000622969_90_90;null
ENST00000623597_90_90;ENST00000623597_90_90;ENSCAFT00000016185_90_90
ENST00000623893_90_90;ENST00000623893_90_90;null
ENSMUST00000064664_90_90;ENSMUST00000064664_90_90;null
ENSMUST00000064679_90_90;ENSMUST00000064679_90_90;null
ENSMUST00000129905_90_90;ENSMUST00000129905_90_90;null
ENSMUST00000136247_90_90;ENSMUST00000136247_90_90;null
