;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;;0.754;0.754;0.231;0.754;0.65;0.134;0.145;0.148;0.067
ENST00000617070_90_90;0.754;;;;;;0.129;0.168;0.144;0.094
ENST00000617991_90_90;0.754;;;;;;0.129;0.168;0.144;0.094
ENST00000622969_90_90;0.231;;;;;;0.0;0.0;0.0;0.0
ENST00000623597_90_90;0.754;;;;;;0.129;0.168;0.144;0.094
ENST00000623893_90_90;0.65;;;;;;0.144;0.185;0.163;0.105
ENSMUST00000064664_90_90;0.134;0.129;0.129;0.0;0.129;0.144;;;;
ENSMUST00000064679_90_90;0.145;0.168;0.168;0.0;0.168;0.185;;;;
ENSMUST00000129905_90_90;0.148;0.144;0.144;0.0;0.144;0.163;;;;
ENSMUST00000136247_90_90;0.067;0.094;0.094;0.0;0.094;0.105;;;;
