;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.974;0.974;0.949;0.974;0.41;0.205;0.41;0.487;0.41;0.974;1.0;0.971;0.941;0.971;0.0;0.0
ENST00000326194_90_90;1.0;1.0;0.974;0.974;0.949;0.974;0.41;0.205;0.302;0.487;0.41;0.974;0.708;0.688;0.667;0.688;0.0;0.0
ENST00000355961_90_90;0.974;0.974;1.0;0.949;0.974;0.949;0.421;0.211;0.308;0.5;0.421;1.0;0.708;0.688;0.667;0.688;0.0;0.0
ENST00000359882_90_90;0.974;0.974;0.949;1.0;0.974;1.0;0.421;0.211;0.308;0.5;0.421;0.949;0.708;0.688;0.667;0.688;0.0;0.0
ENST00000361988_90_90;0.949;0.949;0.974;0.974;1.0;0.974;0.432;0.216;0.314;0.514;0.432;0.974;0.708;0.688;0.667;0.688;0.0;0.0
ENST00000367574_90_90;0.974;0.974;0.949;1.0;0.974;1.0;0.421;0.211;0.308;0.5;0.421;0.949;0.708;0.688;0.667;0.688;0.0;0.0
ENST00000470275_90_90;0.41;0.41;0.421;0.421;0.432;0.421;1.0;0.412;0.533;0.667;1.0;0.421;0.312;0.319;0.326;0.319;0.0;0.0
ENST00000472520_90_90;0.205;0.205;0.211;0.211;0.216;0.211;0.412;1.0;0.226;0.35;0.412;0.211;0.146;0.149;0.152;0.149;0.0;0.0
ENST00000485288_90_90;0.41;0.302;0.308;0.308;0.314;0.308;0.533;0.226;1.0;0.4;0.533;0.308;0.604;0.617;0.63;0.617;0.138;0.103
ENST00000489940_90_90;0.487;0.487;0.5;0.5;0.514;0.5;0.667;0.35;0.4;1.0;0.667;0.5;0.375;0.354;0.333;0.354;0.0;0.0
ENST00000528612_90_90;0.41;0.41;0.421;0.421;0.432;0.421;1.0;0.412;0.533;0.667;1.0;0.421;0.312;0.319;0.326;0.319;0.0;0.0
ENST00000537758_90_90;0.974;0.974;1.0;0.949;0.974;0.949;0.421;0.211;0.308;0.5;0.421;1.0;0.708;0.688;0.667;0.688;0.0;0.0
ENSMUST00000077595_90_90;1.0;0.708;0.708;0.708;0.708;0.708;0.312;0.146;0.604;0.375;0.312;0.708;1.0;0.977;0.955;0.977;0.102;0.068
ENSMUST00000082320_90_90;0.971;0.688;0.688;0.688;0.688;0.688;0.319;0.149;0.617;0.354;0.319;0.688;0.977;1.0;0.977;0.955;0.105;0.07
ENSMUST00000089402_90_90;0.941;0.667;0.667;0.667;0.667;0.667;0.326;0.152;0.63;0.333;0.326;0.667;0.955;0.977;1.0;0.977;0.107;0.071
ENSMUST00000089403_90_90;0.971;0.688;0.688;0.688;0.688;0.688;0.319;0.149;0.617;0.354;0.319;0.688;0.977;0.955;0.977;1.0;0.105;0.07
ENSMUST00000122943_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.138;0.0;0.0;0.0;0.102;0.105;0.107;0.105;1.0;0.071
ENSMUST00000154695_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.103;0.0;0.0;0.0;0.068;0.07;0.071;0.07;0.071;1.0
