;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.164;0.212;0.187;0.989;1.0;0.989;0.976;0.987;0.187;0.115
ENST00000326194_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.164;0.212;0.187;0.989;1.0;0.989;0.976;0.987;0.187;0.115
ENST00000355961_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.989;1.0;0.987;0.976;0.189;0.116
ENST00000359882_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.987;0.976;0.989;1.0;0.189;0.116
ENST00000361988_90_90;0.976;0.976;0.987;0.989;1.0;0.989;0.191;0.111;0.167;0.217;0.191;0.987;0.976;0.987;1.0;0.989;0.191;0.118
ENST00000367574_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.987;0.976;0.989;1.0;0.189;0.116
ENST00000470275_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.187;0.189;0.191;0.189;1.0;0.484
ENST00000472520_90_90;0.108;0.108;0.11;0.11;0.111;0.11;0.5;1.0;0.293;0.443;0.5;0.11;0.108;0.11;0.111;0.11;0.5;0.943
ENST00000485288_90_90;0.164;0.164;0.165;0.166;0.167;0.166;0.573;0.293;1.0;0.426;0.573;0.165;0.164;0.165;0.167;0.166;0.573;0.288
ENST00000489940_90_90;0.212;0.212;0.214;0.215;0.217;0.215;0.675;0.443;0.426;1.0;0.675;0.214;0.212;0.214;0.217;0.215;0.675;0.43
ENST00000528612_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.187;0.189;0.191;0.189;1.0;0.484
ENST00000537758_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.989;1.0;0.987;0.976;0.189;0.116
ENSMUST00000077595_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.164;0.212;0.187;0.989;1.0;0.989;0.976;0.987;0.187;0.115
ENSMUST00000082320_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.989;1.0;0.987;0.976;0.189;0.116
ENSMUST00000089402_90_90;0.976;0.976;0.987;0.989;1.0;0.989;0.191;0.111;0.167;0.217;0.191;0.987;0.976;0.987;1.0;0.989;0.191;0.118
ENSMUST00000089403_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.987;0.976;0.989;1.0;0.189;0.116
ENSMUST00000122943_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.187;0.189;0.191;0.189;1.0;0.484
ENSMUST00000154695_90_90;0.115;0.115;0.116;0.116;0.118;0.116;0.484;0.943;0.288;0.43;0.484;0.116;0.115;0.116;0.118;0.116;0.484;1.0
