;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.898;0.638;0.611;0.916;0.999;0.908;0.881;0.675;0.839;0.84;0.926;0.675;0.675;0.823;0.881
transcript6_ENSECAG00000007947;0.898;1.0;0.563;0.615;0.866;0.897;0.989;0.964;0.718;0.914;0.916;0.98;0.718;0.718;0.895;0.964
transcript8_ENSMPUG00000020072;0.638;0.563;1.0;0.745;0.612;0.639;0.579;0.561;0.432;0.512;0.564;0.591;0.432;0.432;0.498;0.561
transcript8_ENSECAG00000007947;0.611;0.615;0.745;1.0;0.605;0.611;0.631;0.614;0.445;0.557;0.628;0.637;0.445;0.445;0.662;0.614
transcript10_ENSMPUG00000020072;0.916;0.866;0.612;0.605;1.0;0.917;0.878;0.9;0.67;0.866;0.914;0.865;0.67;0.67;0.841;0.9
transcript13_ENSMPUG00000020072;0.999;0.897;0.639;0.611;0.917;1.0;0.907;0.88;0.674;0.839;0.839;0.925;0.674;0.674;0.822;0.88
transcript4_ENSECAG00000007947;0.908;0.989;0.579;0.631;0.878;0.907;1.0;0.975;0.733;0.926;0.928;0.989;0.733;0.733;0.906;0.975
transcript7_ENSECAG00000007947;0.881;0.964;0.561;0.614;0.9;0.88;0.975;1.0;0.713;0.952;0.954;0.964;0.713;0.713;0.932;1.0
transcript14_ENSECAG00000007947;0.675;0.718;0.432;0.445;0.67;0.674;0.733;0.713;1.0;0.751;0.701;0.718;1.0;1.0;0.641;0.713
transcript15_ENSECAG00000007947;0.839;0.914;0.512;0.557;0.866;0.839;0.926;0.952;0.751;1.0;0.92;0.914;0.751;0.751;0.883;0.952
transcript16_ENSECAG00000007947;0.84;0.916;0.564;0.628;0.914;0.839;0.928;0.954;0.701;0.92;1.0;0.916;0.701;0.701;0.885;0.954
transcript17_ENSECAG00000007947;0.926;0.98;0.591;0.637;0.865;0.925;0.989;0.964;0.718;0.914;0.916;1.0;0.718;0.718;0.895;0.964
transcript18_ENSECAG00000007947;0.675;0.718;0.432;0.445;0.67;0.674;0.733;0.713;1.0;0.751;0.701;0.718;1.0;1.0;0.641;0.713
transcript19_ENSECAG00000007947;0.675;0.718;0.432;0.445;0.67;0.674;0.733;0.713;1.0;0.751;0.701;0.718;1.0;1.0;0.641;0.713
transcript20_ENSECAG00000007947;0.823;0.895;0.498;0.662;0.841;0.822;0.906;0.932;0.641;0.883;0.885;0.895;0.641;0.641;1.0;0.932
transcript21_ENSECAG00000007947;0.881;0.964;0.561;0.614;0.9;0.88;0.975;1.0;0.713;0.952;0.954;0.964;0.713;0.713;0.932;1.0
