;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.895;0.799;0.799;0.535;0.477;0.492;0.828;0.315;0.768;0.08;0.12;0.281;0.124;0.329;0.325;0.966;0.897;0.966;0.836;0.778;0.927;0.506;0.596;0.255
ENSCAFT00000012333_90_90;0.895;1.0;0.832;0.832;0.55;0.438;0.455;0.861;0.325;0.859;0.043;0.124;0.248;0.129;0.29;0.386;0.925;0.936;0.925;0.936;0.812;0.966;0.467;0.68;0.222
ENST00000295951_90_90;0.799;0.832;1.0;1.0;0.536;0.481;0.532;0.968;0.391;0.964;0.044;0.153;0.288;0.159;0.326;0.427;0.768;0.889;0.768;0.882;0.821;0.863;0.45;0.577;0.231
ENST00000295952_90_90;0.799;0.832;1.0;1.0;0.536;0.481;0.532;0.968;0.391;0.964;0.044;0.153;0.288;0.159;0.326;0.427;0.768;0.889;0.768;0.882;0.821;0.863;0.45;0.577;0.231
ENST00000383718_90_90;0.535;0.55;0.536;0.536;1.0;0.158;0.206;0.565;0.177;0.553;0.0;0.067;0.391;0.067;0.054;0.052;0.551;0.505;0.551;0.492;0.389;0.534;0.134;0.25;0.321
ENST00000416658_90_90;0.477;0.438;0.481;0.481;0.158;1.0;0.773;0.466;0.558;0.498;0.159;0.284;0.117;0.293;0.702;0.666;0.492;0.436;0.492;0.466;0.5;0.424;0.922;0.652;0.066
ENST00000417128_90_90;0.492;0.455;0.532;0.532;0.206;0.773;1.0;0.514;0.647;0.551;0.146;0.258;0.169;0.268;0.655;0.629;0.508;0.454;0.508;0.483;0.516;0.441;0.723;0.663;0.027
ENST00000428312_90_90;0.828;0.861;0.968;0.968;0.565;0.466;0.514;1.0;0.379;0.933;0.043;0.148;0.278;0.153;0.316;0.414;0.797;0.919;0.797;0.857;0.796;0.893;0.436;0.607;0.224
ENST00000438794_90_90;0.315;0.325;0.391;0.391;0.177;0.558;0.647;0.379;1.0;0.405;0.097;0.21;0.131;0.355;0.548;0.499;0.325;0.324;0.325;0.344;0.369;0.315;0.51;0.479;0.0
ENST00000449503_90_90;0.768;0.859;0.964;0.964;0.553;0.498;0.551;0.933;0.405;1.0;0.045;0.16;0.254;0.164;0.337;0.444;0.792;0.857;0.792;0.912;0.786;0.832;0.466;0.597;0.197
ENST00000460223_90_90;0.08;0.043;0.044;0.044;0.0;0.159;0.146;0.043;0.097;0.045;1.0;0.0;0.0;0.0;0.227;0.099;0.083;0.043;0.083;0.045;0.049;0.041;0.159;0.064;0.0
ENST00000461354_90_90;0.12;0.124;0.153;0.153;0.067;0.284;0.258;0.148;0.21;0.16;0.0;1.0;0.0;0.502;0.251;0.363;0.124;0.123;0.124;0.132;0.142;0.12;0.233;0.185;0.0
ENST00000465203_90_90;0.281;0.248;0.288;0.288;0.391;0.117;0.169;0.278;0.131;0.254;0.0;0.0;1.0;0.0;0.0;0.0;0.248;0.251;0.248;0.225;0.282;0.28;0.117;0.222;0.552
ENST00000466255_90_90;0.124;0.129;0.159;0.159;0.067;0.293;0.268;0.153;0.355;0.164;0.0;0.502;0.0;1.0;0.422;0.373;0.129;0.129;0.129;0.137;0.147;0.124;0.241;0.194;0.0
ENST00000494088_90_90;0.329;0.29;0.326;0.326;0.054;0.702;0.655;0.316;0.548;0.337;0.227;0.251;0.0;0.422;1.0;0.724;0.34;0.29;0.34;0.308;0.333;0.282;0.636;0.439;0.0
ENST00000495364_90_90;0.325;0.386;0.427;0.427;0.052;0.666;0.629;0.414;0.499;0.444;0.099;0.363;0.0;0.373;0.724;1.0;0.335;0.385;0.335;0.411;0.444;0.374;0.609;0.59;0.0
ENSMUST00000038522_90_90;0.966;0.925;0.768;0.768;0.551;0.492;0.508;0.797;0.325;0.792;0.083;0.124;0.248;0.129;0.34;0.335;1.0;0.865;1.0;0.863;0.746;0.895;0.524;0.617;0.222
ENSMUST00000090359_90_90;0.897;0.936;0.889;0.889;0.505;0.436;0.454;0.919;0.324;0.857;0.043;0.123;0.251;0.129;0.29;0.385;0.865;1.0;0.865;0.933;0.873;0.969;0.466;0.679;0.224
ENSMUST00000102956_90_90;0.966;0.925;0.768;0.768;0.551;0.492;0.508;0.797;0.325;0.792;0.083;0.124;0.248;0.129;0.34;0.335;1.0;0.865;1.0;0.863;0.746;0.895;0.524;0.617;0.222
ENSMUST00000112330_90_90;0.836;0.936;0.882;0.882;0.492;0.466;0.483;0.857;0.344;0.912;0.045;0.132;0.225;0.137;0.308;0.411;0.863;0.933;0.863;1.0;0.867;0.905;0.498;0.671;0.197
ENSMUST00000112331_90_90;0.778;0.812;0.821;0.821;0.389;0.5;0.516;0.796;0.369;0.786;0.049;0.142;0.282;0.147;0.333;0.444;0.746;0.873;0.746;0.867;1.0;0.846;0.532;0.712;0.255
ENSMUST00000139075_90_90;0.927;0.966;0.863;0.863;0.534;0.424;0.441;0.893;0.315;0.832;0.041;0.12;0.28;0.124;0.282;0.374;0.895;0.969;0.895;0.905;0.846;1.0;0.453;0.657;0.255
ENSMUST00000142679_90_90;0.506;0.467;0.45;0.45;0.134;0.922;0.723;0.436;0.51;0.466;0.159;0.233;0.117;0.241;0.636;0.609;0.524;0.466;0.524;0.498;0.532;0.453;1.0;0.692;0.066
ENSMUST00000145738_90_90;0.596;0.68;0.577;0.577;0.25;0.652;0.663;0.607;0.479;0.597;0.064;0.185;0.222;0.194;0.439;0.59;0.617;0.679;0.617;0.671;0.712;0.657;0.692;1.0;0.111
ENSMUST00000146438_90_90;0.255;0.222;0.231;0.231;0.321;0.066;0.027;0.224;0.0;0.197;0.0;0.0;0.552;0.0;0.0;0.0;0.222;0.224;0.222;0.197;0.255;0.255;0.066;0.111;1.0
