;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.438;0.727;0.909;0.909;0.077;0.917;0.833;0.833;0.083;0.333;0.25;0.071
ENSCAFT00000013564_90_90;0.438;1.0;0.545;0.583;0.583;0.333;0.538;0.583;0.583;0.111;0.3;0.333;0.333
ENST00000233330_90_90;0.727;0.545;1.0;0.727;0.727;0.083;0.727;0.8;0.8;0.125;0.2;0.375;0.091
ENST00000272430_90_90;0.909;0.583;0.727;1.0;0.692;0.067;1.0;0.75;0.75;0.091;0.25;0.273;0.071
ENST00000305557_90_90;0.909;0.583;0.727;0.692;1.0;0.067;0.692;0.909;0.909;0.091;0.364;0.273;0.071
ENST00000640304_90_90;0.077;0.333;0.083;0.067;0.067;1.0;0.071;0.077;0.077;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;0.917;0.538;0.727;1.0;0.692;0.071;1.0;0.714;0.714;0.083;0.2;0.25;0.062
ENSMUST00000087938_90_90;0.833;0.583;0.8;0.75;0.909;0.077;0.714;1.0;1.0;0.083;0.2;0.25;0.062
ENSMUST00000121093_90_90;0.833;0.583;0.8;0.75;0.909;0.077;0.714;1.0;1.0;0.083;0.2;0.25;0.062
ENSMUST00000129316_90_90;0.083;0.111;0.125;0.091;0.091;0.0;0.083;0.083;0.083;1.0;0.167;0.333;0.0
ENSMUST00000130622_90_90;0.333;0.3;0.2;0.25;0.364;0.0;0.2;0.2;0.2;0.167;1.0;0.286;0.0
ENSMUST00000135490_90_90;0.25;0.333;0.375;0.273;0.273;0.0;0.25;0.25;0.25;0.333;0.286;1.0;0.0
ENSMUST00000213056_90_90;0.071;0.333;0.091;0.071;0.071;1.0;0.062;0.062;0.062;0.0;0.0;0.0;1.0
