;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.894;0.826;0.826;0.835;0.826;0.0;0.775;0.826;0.894;0.826;0.826;0.56;0.894;0.268;0.255;0.139
ENST00000341049_90_90;0.894;1.0;0.826;0.826;0.938;0.826;0.039;0.775;0.826;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENST00000393467_90_90;0.826;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENST00000393468_90_90;0.826;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENST00000393470_90_90;0.835;0.938;0.88;0.88;1.0;0.88;0.041;0.826;0.88;0.938;0.88;0.88;0.691;0.938;0.285;0.262;0.142
ENST00000405348_90_90;0.826;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENST00000451122_90_90;0.0;0.039;0.0;0.0;0.041;0.0;1.0;0.0;0.0;0.039;0.0;0.0;0.052;0.039;0.0;0.059;0.118
ENST00000456473_90_90;0.775;0.775;0.939;0.939;0.826;0.939;0.0;1.0;0.939;0.775;0.939;0.939;0.603;0.775;0.345;0.173;0.033
ENST00000614113_90_90;0.826;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000007799_90_90;0.894;1.0;0.826;0.826;0.938;0.826;0.039;0.775;0.826;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENSMUST00000115453_90_90;0.826;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000115454_90_90;0.826;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000115455_90_90;0.56;0.648;0.571;0.571;0.691;0.571;0.052;0.603;0.571;0.648;0.571;0.571;1.0;0.648;0.413;0.35;0.198
ENSMUST00000115456_90_90;0.894;1.0;0.826;0.826;0.938;0.826;0.039;0.775;0.826;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENSMUST00000123439_90_90;0.268;0.268;0.324;0.324;0.285;0.324;0.0;0.345;0.324;0.268;0.324;0.324;0.413;0.268;1.0;0.319;0.069
ENSMUST00000150901_90_90;0.255;0.316;0.165;0.165;0.262;0.165;0.059;0.173;0.165;0.316;0.165;0.165;0.35;0.316;0.319;1.0;0.381
ENSMUST00000177234_90_90;0.139;0.202;0.031;0.031;0.142;0.031;0.118;0.033;0.031;0.202;0.031;0.031;0.198;0.202;0.069;0.381;1.0
