;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.782;0.753;0.064;0.069;0.028;0.785;0.44;0.421;0.448;0.604
ENST00000344157_90_90;0.782;1.0;0.965;0.071;0.095;0.031;0.953;0.498;0.479;0.509;0.589
ENST00000355665_90_90;0.753;0.965;1.0;0.074;0.099;0.033;0.92;0.469;0.493;0.479;0.605
ENST00000505251_90_90;0.064;0.071;0.074;1.0;0.0;0.419;0.067;0.092;0.103;0.097;0.08
ENST00000507529_90_90;0.069;0.095;0.099;0.0;1.0;0.0;0.091;0.0;0.0;0.0;0.0
ENST00000510746_90_90;0.028;0.031;0.033;0.419;0.0;1.0;0.03;0.042;0.048;0.044;0.034
ENST00000579690_90_90;0.785;0.953;0.92;0.067;0.091;0.03;1.0;0.48;0.462;0.49;0.57
ENSMUST00000038384_90_90;0.44;0.498;0.469;0.092;0.0;0.042;0.48;1.0;0.916;0.961;0.549
ENSMUST00000119339_90_90;0.421;0.479;0.493;0.103;0.0;0.048;0.462;0.916;1.0;0.952;0.579
ENSMUST00000120498_90_90;0.448;0.509;0.479;0.097;0.0;0.044;0.49;0.961;0.952;1.0;0.561
ENSMUST00000156363_90_90;0.604;0.589;0.605;0.08;0.0;0.034;0.57;0.549;0.579;0.561;1.0
