;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.226;0.214;0.274;0.23;0.106;0.106;0.106;0.109;0.115;0.12;0.084;0.081;0.107;0.0;0.089;0.221;0.2;0.0;0.215;0.235;0.235;0.219;0.073;0.148;0.138;0.206;0.141;0.073;0.154;0.204;0.145;0.164;0.081;0.0;0.0;0.0;0.107;0.083;0.079;0.11;0.089;0.087;0.268;0.2;0.215;0.117;0.106;0.0;0.117;0.0;0.0;0.106;0.0;0.25;0.268;0.268;0.268;0.268;0.268;0.148;0.268;0.009;0.019
ENSCAFT00000013439_90_90;0.226;1.0;0.785;0.42;0.663;0.452;0.452;0.454;0.422;0.459;0.424;0.128;0.41;0.464;0.116;0.411;0.646;0.732;0.135;0.697;0.142;0.142;0.15;0.079;0.215;0.156;0.166;0.142;0.079;0.212;0.1;0.179;0.204;0.41;0.05;0.054;0.127;0.464;0.383;0.406;0.438;0.411;0.318;0.621;0.732;0.697;0.463;0.458;0.058;0.463;0.196;0.048;0.458;0.038;0.144;0.136;0.136;0.136;0.136;0.136;0.212;0.136;0.01;0.029
ENSCAFT00000037016_90_90;0.214;0.785;1.0;0.44;0.645;0.496;0.496;0.498;0.465;0.508;0.47;0.147;0.442;0.511;0.132;0.447;0.738;0.829;0.154;0.88;0.066;0.066;0.069;0.12;0.102;0.113;0.077;0.116;0.12;0.098;0.022;0.108;0.095;0.442;0.057;0.061;0.144;0.511;0.413;0.444;0.483;0.447;0.343;0.702;0.829;0.88;0.513;0.503;0.067;0.513;0.221;0.057;0.503;0.045;0.067;0.063;0.063;0.063;0.063;0.063;0.103;0.063;0.013;0.034
ENSCAFT00000021145_90_90;0.274;0.42;0.44;1.0;0.404;0.429;0.429;0.431;0.397;0.344;0.308;0.089;0.472;0.44;0.259;0.375;0.418;0.438;0.169;0.445;0.105;0.105;0.097;0.055;0.084;0.069;0.095;0.07;0.055;0.086;0.082;0.077;0.087;0.472;0.12;0.11;0.274;0.44;0.446;0.469;0.416;0.375;0.383;0.466;0.438;0.445;0.347;0.434;0.114;0.347;0.35;0.134;0.434;0.088;0.11;0.123;0.123;0.123;0.123;0.123;0.085;0.123;0.005;0.01
ENSCAFT00000025193_90_90;0.23;0.663;0.645;0.404;1.0;0.538;0.538;0.539;0.51;0.586;0.551;0.157;0.453;0.551;0.123;0.492;0.611;0.682;0.166;0.704;0.136;0.136;0.143;0.095;0.202;0.209;0.158;0.196;0.095;0.194;0.098;0.211;0.188;0.453;0.009;0.098;0.134;0.551;0.426;0.454;0.526;0.492;0.365;0.592;0.682;0.704;0.591;0.544;0.102;0.591;0.196;0.024;0.544;0.0;0.138;0.131;0.131;0.131;0.131;0.131;0.203;0.131;0.008;0.023
ENST00000302271_90_90;0.106;0.452;0.496;0.429;0.538;1.0;1.0;0.991;0.957;0.841;0.806;0.242;0.748;0.942;0.262;0.619;0.465;0.503;0.16;0.493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.736;0.124;0.102;0.269;0.929;0.707;0.739;0.899;0.619;0.641;0.452;0.503;0.493;0.837;0.988;0.106;0.837;0.356;0.153;0.988;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374612_90_90;0.106;0.452;0.496;0.429;0.538;1.0;1.0;0.991;0.957;0.841;0.806;0.242;0.748;0.942;0.262;0.619;0.465;0.503;0.16;0.493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.736;0.124;0.102;0.269;0.929;0.707;0.739;0.899;0.619;0.641;0.452;0.503;0.493;0.837;0.988;0.106;0.837;0.356;0.153;0.988;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374616_90_90;0.106;0.454;0.498;0.431;0.539;0.991;0.991;1.0;0.949;0.851;0.799;0.24;0.748;0.942;0.26;0.621;0.466;0.505;0.159;0.495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.737;0.123;0.101;0.267;0.929;0.708;0.74;0.899;0.621;0.635;0.453;0.505;0.495;0.838;0.988;0.105;0.838;0.359;0.151;0.988;0.108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000427764_90_90;0.109;0.422;0.465;0.397;0.51;0.957;0.957;0.949;1.0;0.799;0.842;0.252;0.706;0.899;0.22;0.578;0.434;0.471;0.122;0.462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695;0.13;0.069;0.227;0.887;0.665;0.698;0.857;0.578;0.599;0.421;0.471;0.462;0.794;0.945;0.062;0.794;0.314;0.16;0.945;0.114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000478691_90_90;0.115;0.459;0.508;0.344;0.586;0.841;0.841;0.851;0.799;1.0;0.94;0.281;0.617;0.808;0.121;0.727;0.527;0.578;0.18;0.565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.617;0.0;0.118;0.137;0.808;0.587;0.619;0.778;0.727;0.514;0.51;0.578;0.565;0.986;0.838;0.123;0.986;0.21;0.004;0.838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
