;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000018602_90_90;ENST00000629590_90_90:ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENST00000248933_90_90:ENST00000404234_90_90;0.794:0.618:0.588:0.8240000000000001:0.794
1;ENST00000248933_90_90;ENST00000629590_90_90:ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90;0.968:0.528:0.5:0.8240000000000001:0.968
2;ENST00000343706_90_90;;
3;ENST00000360929_90_90;;
4;ENST00000402979_90_90;ENSMUST00000200575_90_90:ENST00000403121_90_90;0.625:0.75
5;ENST00000403121_90_90;ENST00000402979_90_90:ENSMUST00000200575_90_90;0.75:0.375
6;ENST00000404234_90_90;ENST00000629590_90_90:ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENST00000248933_90_90:ENSCAFT00000018602_90_90;0.935:0.5:0.514:0.968:0.794
7;ENST00000529632_90_90;;
8;ENST00000629590_90_90;ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENST00000248933_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90;0.5:0.47200000000000003:0.968:0.794:0.935
9;ENSMUST00000075387_90_90;;
10;ENSMUST00000079491_90_90;ENST00000629590_90_90:ENSMUST00000212480_90_90:ENST00000248933_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90;0.47200000000000003:0.958:0.5:0.588:0.514
11;ENSMUST00000197425_90_90;;
12;ENSMUST00000200575_90_90;ENST00000402979_90_90:ENST00000403121_90_90;0.625:0.375
13;ENSMUST00000212480_90_90;ENST00000629590_90_90:ENSMUST00000079491_90_90:ENST00000248933_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90;0.5:0.958:0.528:0.618:0.5
14;ENSMUST00000212758_90_90;;
