;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.824;0.765;0.765;0.258;0.194;0.794;0.735;0.794;0.559;0.588;0.529;0.161;0.618;0.529
ENST00000248933_90_90;0.824;1.0;0.935;0.935;0.258;0.194;0.968;0.903;0.968;0.472;0.5;0.444;0.161;0.528;0.444
ENST00000343706_90_90;0.765;0.935;1.0;0.933;0.194;0.207;0.903;0.9;0.967;0.417;0.444;0.429;0.097;0.472;0.471
ENST00000360929_90_90;0.765;0.935;0.933;1.0;0.194;0.167;0.903;0.9;0.967;0.417;0.444;0.389;0.133;0.472;0.429
ENST00000402979_90_90;0.258;0.258;0.194;0.194;1.0;0.75;0.267;0.2;0.226;0.25;0.292;0.208;0.625;0.28;0.208
ENST00000403121_90_90;0.194;0.194;0.207;0.167;0.75;1.0;0.2;0.172;0.2;0.167;0.208;0.174;0.375;0.2;0.227
ENST00000404234_90_90;0.794;0.968;0.903;0.903;0.267;0.2;1.0;0.933;0.935;0.486;0.514;0.457;0.167;0.5;0.457
ENST00000529632_90_90;0.735;0.903;0.9;0.9;0.2;0.172;0.933;1.0;0.933;0.471;0.457;0.441;0.1;0.444;0.441
ENST00000629590_90_90;0.794;0.968;0.967;0.967;0.226;0.2;0.935;0.933;1.0;0.444;0.472;0.417;0.129;0.5;0.457
ENSMUST00000075387_90_90;0.559;0.472;0.417;0.417;0.25;0.167;0.486;0.471;0.444;1.0;0.957;0.955;0.174;0.917;0.87
ENSMUST00000079491_90_90;0.588;0.5;0.444;0.444;0.292;0.208;0.514;0.457;0.472;0.957;1.0;0.913;0.217;0.958;0.913
ENSMUST00000197425_90_90;0.529;0.444;0.429;0.389;0.208;0.174;0.457;0.441;0.417;0.955;0.913;1.0;0.13;0.875;0.909
ENSMUST00000200575_90_90;0.161;0.161;0.097;0.133;0.625;0.375;0.167;0.1;0.129;0.174;0.217;0.13;1.0;0.208;0.13
ENSMUST00000212480_90_90;0.618;0.528;0.472;0.472;0.28;0.2;0.5;0.444;0.5;0.917;0.958;0.875;0.208;1.0;0.875
ENSMUST00000212758_90_90;0.529;0.444;0.471;0.429;0.208;0.227;0.457;0.441;0.457;0.87;0.913;0.909;0.13;0.875;1.0
