;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.998;0.97;0.126;0.381;0.118;0.534;0.425;0.339;0.133;0.573
ENST00000308924_90_90;0.998;1.0;0.951;0.123;0.391;0.136;0.579;0.446;0.264;0.161;0.649
ENST00000450554_90_90;0.97;0.951;1.0;0.134;0.401;0.141;0.613;0.464;0.299;0.172;0.579
ENST00000587196_90_90;0.126;0.123;0.134;1.0;0.0;0.0;0.0;0.0;0.177;0.0;0.0
ENST00000590551_90_90;0.381;0.391;0.401;0.0;1.0;0.0;0.576;1.0;0.0;0.0;0.51
ENST00000592874_90_90;0.118;0.136;0.141;0.0;0.0;1.0;0.257;0.0;0.0;0.953;0.215
ENSMUST00000005041_90_90;0.534;0.579;0.613;0.0;0.576;0.257;1.0;0.493;0.087;0.267;0.905
ENSMUST00000165399_90_90;0.425;0.446;0.464;0.0;1.0;0.0;0.493;1.0;0.0;0.0;0.46
ENSMUST00000207097_90_90;0.339;0.264;0.299;0.177;0.0;0.0;0.087;0.0;1.0;0.0;0.084
ENSMUST00000207498_90_90;0.133;0.161;0.172;0.0;0.0;0.953;0.267;0.0;0.0;1.0;0.236
ENSMUST00000209099_90_90;0.573;0.649;0.579;0.0;0.51;0.215;0.905;0.46;0.084;0.236;1.0
