;transcript15_ENSPEMG00000024651;transcript6_ENSMPUG00000020072;transcript25_ENSCPOG00000024843;transcript6_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript36_ENSCGRG00000018457;transcript15_ENSSTOG00000019743
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;0.959;0.959;0.921;0.959;0.901;0.964;0.68;1.0;1.0;1.0;0.919;1.0
transcript6_ENSMPUG00000020072;1.0;1.0;1.0;0.97;0.97;0.935;0.877;0.832;0.964;0.706;1.0;0.933;1.0;0.87;1.0
transcript25_ENSCPOG00000024843;1.0;1.0;1.0;0.957;0.957;0.92;0.86;0.814;0.96;0.704;1.0;0.934;1.0;0.867;1.0
transcript6_ENSECAG00000007947;0.959;0.97;0.957;1.0;1.0;0.962;0.898;0.849;0.926;0.678;0.955;0.897;0.955;0.844;0.974
transcript20_ENSECAG00000007947;0.959;0.97;0.957;1.0;1.0;0.962;0.898;0.849;0.926;0.678;0.955;0.897;0.955;0.844;0.974
transcript7_ENSECAG00000007947;0.921;0.935;0.92;0.962;0.962;1.0;0.859;0.81;0.957;0.634;0.913;0.859;0.913;0.804;0.925
transcript19_ENSECAG00000007947;0.959;0.877;0.86;0.898;0.898;0.859;1.0;0.946;0.831;0.569;0.955;0.955;0.955;0.899;0.974
transcript21_ENSECAG00000007947;0.901;0.832;0.814;0.849;0.849;0.81;0.946;1.0;0.788;0.587;0.903;0.903;0.903;0.949;0.932
transcript7_ENSMLUG00000027828;0.964;0.964;0.96;0.926;0.926;0.957;0.831;0.788;1.0;0.685;0.96;0.898;0.96;0.853;0.956
transcript13_ENSMLUG00000027828;0.68;0.706;0.704;0.678;0.678;0.634;0.569;0.587;0.685;1.0;0.676;0.619;0.676;0.646;0.666
transcript15_ENSCGRG00015005362;1.0;1.0;1.0;0.955;0.955;0.913;0.955;0.903;0.96;0.676;1.0;1.0;1.0;0.929;1.0
transcript15_ENSCGRG00000018457;1.0;0.933;0.934;0.897;0.897;0.859;0.955;0.903;0.898;0.619;1.0;1.0;1.0;0.929;1.0
transcript15_ENSCGRG00001010245;1.0;1.0;1.0;0.955;0.955;0.913;0.955;0.903;0.96;0.676;1.0;1.0;1.0;0.929;1.0
transcript36_ENSCGRG00000018457;0.919;0.87;0.867;0.844;0.844;0.804;0.899;0.949;0.853;0.646;0.929;0.929;0.929;1.0;0.949
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.974;0.974;0.925;0.974;0.932;0.956;0.666;1.0;1.0;1.0;0.949;1.0
