;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript18_ENSPCIG00000036398;1.0;0.688;0.386;0.386;0.379;0.38;0.533;0.553;1.0;1.0;0.704;0.704;0.702;0.379;0.405;0.315;0.405;0.702;0.702;0.702;0.702;0.702;0.702;0.69;0.381
transcript8_ENSMUNG00000002377;0.688;1.0;0.621;0.621;0.614;0.615;0.399;0.415;0.688;0.688;0.825;0.825;0.933;0.543;0.354;0.276;0.354;0.933;0.933;0.933;0.933;0.933;0.933;0.921;0.538
transcript23_ENSMUNG00000002377;0.386;0.621;1.0;1.0;0.918;0.914;0.73;0.777;0.386;0.386;0.481;0.481;0.571;0.883;0.135;0.106;0.135;0.571;0.571;0.571;0.571;0.571;0.571;0.564;0.878
transcript15_ENSMUNG00000002377;0.386;0.621;1.0;1.0;0.918;0.914;0.73;0.777;0.386;0.386;0.481;0.481;0.571;0.883;0.135;0.106;0.135;0.571;0.571;0.571;0.571;0.571;0.571;0.564;0.878
transcript16_ENSMUNG00000002377;0.379;0.614;0.918;0.918;1.0;0.935;0.752;0.701;0.379;0.379;0.474;0.474;0.564;0.904;0.13;0.102;0.13;0.564;0.564;0.564;0.564;0.564;0.564;0.557;0.899
transcript22_ENSMUNG00000002377;0.38;0.615;0.914;0.914;0.935;1.0;0.748;0.697;0.38;0.38;0.476;0.476;0.565;0.901;0.131;0.103;0.131;0.565;0.565;0.565;0.565;0.565;0.565;0.558;0.895
transcript3_ENSPCIG00000036398;0.533;0.399;0.73;0.73;0.752;0.748;1.0;0.945;0.533;0.533;0.401;0.401;0.412;0.794;0.137;0.107;0.137;0.412;0.412;0.412;0.412;0.412;0.412;0.406;0.798
transcript15_ENSPCIG00000036398;0.553;0.415;0.777;0.777;0.701;0.697;0.945;1.0;0.553;0.553;0.417;0.417;0.428;0.744;0.147;0.116;0.147;0.428;0.428;0.428;0.428;0.428;0.428;0.421;0.748
transcript7_ENSPCIG00000036398;1.0;0.688;0.386;0.386;0.379;0.38;0.533;0.553;1.0;1.0;0.704;0.704;0.702;0.379;0.405;0.315;0.405;0.702;0.702;0.702;0.702;0.702;0.702;0.69;0.381
transcript8_ENSPCIG00000036398;1.0;0.688;0.386;0.386;0.379;0.38;0.533;0.553;1.0;1.0;0.704;0.704;0.702;0.379;0.405;0.315;0.405;0.702;0.702;0.702;0.702;0.702;0.702;0.69;0.381
transcript7_ENSHGLG00100006079;0.704;0.825;0.481;0.481;0.474;0.476;0.401;0.417;0.704;0.704;1.0;1.0;0.869;0.493;0.366;0.286;0.366;0.869;0.869;0.869;0.869;0.869;0.869;0.857;0.488
transcript10_ENSHGLG00100006079;0.704;0.825;0.481;0.481;0.474;0.476;0.401;0.417;0.704;0.704;1.0;1.0;0.869;0.493;0.366;0.286;0.366;0.869;0.869;0.869;0.869;0.869;0.869;0.857;0.488
