;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.763;0.769;0.821;0.306;0.816;0.231;0.389;0.649;0.162;0.237;0.263;0.184;0.139;0.444;0.25;0.763;0.081;0.139;0.25;0.651;0.6;0.625;0.674;0.297;0.135;0.61;0.69;0.634
ENSCAFT00000044406_90_90;0.763;1.0;0.684;0.737;0.312;0.778;0.229;0.406;0.697;0.188;0.312;0.194;0.25;0.125;0.469;0.29;0.879;0.094;0.125;0.29;0.61;0.513;0.667;0.634;0.387;0.156;0.694;0.61;0.722
ENST00000356360_90_90;0.769;0.684;1.0;0.943;0.333;0.886;0.25;0.424;0.657;0.212;0.222;0.324;0.135;0.152;0.485;0.273;0.778;0.121;0.152;0.273;0.744;0.694;0.632;0.769;0.25;0.147;0.615;0.789;0.641
ENST00000393346_90_90;0.821;0.737;0.943;1.0;0.314;0.943;0.306;0.4;0.714;0.2;0.278;0.343;0.189;0.143;0.457;0.257;0.833;0.114;0.143;0.257;0.795;0.75;0.684;0.821;0.306;0.139;0.667;0.842;0.692
ENST00000525162_90_90;0.306;0.312;0.333;0.314;1.0;0.333;0.0;0.667;0.44;0.0;0.0;0.0;0.0;0.143;0.688;0.25;0.355;0.0;0.143;0.25;0.278;0.3;0.333;0.27;0.0;0.417;0.323;0.278;0.312
ENST00000526033_90_90;0.816;0.778;0.886;0.943;0.333;1.0;0.324;0.424;0.758;0.212;0.294;0.286;0.2;0.152;0.485;0.273;0.882;0.121;0.152;0.273;0.744;0.694;0.722;0.769;0.324;0.147;0.703;0.789;0.73
ENST00000526961_90_90;0.231;0.229;0.25;0.306;0.0;0.324;1.0;0.0;0.276;0.357;0.643;0.5;0.615;0.0;0.0;0.0;0.265;0.333;0.0;0.0;0.343;0.379;0.242;0.333;0.412;0.0;0.273;0.306;0.265
ENST00000528256_90_90;0.389;0.406;0.424;0.4;0.667;0.424;0.0;1.0;0.345;0.0;0.0;0.0;0.0;0.267;0.875;0.533;0.452;0.0;0.267;0.533;0.289;0.235;0.344;0.282;0.0;0.333;0.333;0.289;0.324
ENST00000528398_90_90;0.649;0.697;0.657;0.714;0.44;0.758;0.276;0.345;1.0;0.28;0.385;0.233;0.214;0.071;0.414;0.133;0.806;0.16;0.071;0.133;0.622;0.71;0.742;0.649;0.423;0.192;0.719;0.667;0.75
ENST00000529016_90_90;0.162;0.188;0.212;0.2;0.0;0.212;0.357;0.0;0.28;1.0;0.5;0.357;0.231;0.0;0.0;0.0;0.226;0.375;0.0;0.0;0.167;0.207;0.2;0.194;0.462;0.0;0.194;0.2;0.226
ENST00000529760_90_90;0.237;0.312;0.222;0.278;0.0;0.294;0.643;0.0;0.385;0.5;1.0;0.438;0.538;0.0;0.0;0.0;0.355;0.364;0.0;0.0;0.314;0.345;0.333;0.306;0.643;0.0;0.367;0.278;0.355
ENST00000530542_90_90;0.263;0.194;0.324;0.343;0.0;0.286;0.5;0.0;0.233;0.357;0.438;1.0;0.312;0.0;0.0;0.0;0.194;0.143;0.0;0.0;0.343;0.429;0.206;0.333;0.412;0.0;0.2;0.343;0.194
ENST00000530692_90_90;0.184;0.25;0.135;0.189;0.0;0.2;0.615;0.0;0.214;0.231;0.538;0.312;1.0;0.0;0.0;0.0;0.212;0.3;0.0;0.0;0.222;0.233;0.188;0.216;0.5;0.0;0.219;0.189;0.212
ENST00000531558_90_90;0.139;0.125;0.152;0.143;0.143;0.152;0.0;0.267;0.071;0.0;0.0;0.0;0.0;1.0;0.235;0.273;0.161;0.0;1.0;0.273;0.111;0.065;0.133;0.108;0.0;0.0;0.129;0.111;0.125
ENST00000531930_90_90;0.444;0.469;0.485;0.457;0.688;0.485;0.0;0.875;0.414;0.0;0.0;0.0;0.0;0.235;1.0;0.471;0.516;0.0;0.235;0.471;0.342;0.294;0.406;0.333;0.0;0.294;0.394;0.342;0.382
ENST00000532041_90_90;0.25;0.29;0.273;0.257;0.25;0.273;0.0;0.533;0.133;0.0;0.0;0.0;0.0;0.273;0.471;1.0;0.29;0.0;0.273;1.0;0.158;0.088;0.188;0.154;0.0;0.25;0.182;0.158;0.176
ENST00000532317_90_90;0.763;0.879;0.778;0.833;0.355;0.882;0.265;0.452;0.806;0.226;0.355;0.194;0.212;0.161;0.516;0.29;1.0;0.129;0.161;0.29;0.692;0.595;0.765;0.718;0.344;0.156;0.794;0.692;0.824
ENST00000532603_90_90;0.081;0.094;0.121;0.114;0.0;0.121;0.333;0.0;0.16;0.375;0.364;0.143;0.3;0.0;0.0;0.0;0.129;1.0;0.0;0.0;0.114;0.143;0.138;0.111;0.231;0.0;0.133;0.114;0.129
ENST00000534412_90_90;0.139;0.125;0.152;0.143;0.143;0.152;0.0;0.267;0.071;0.0;0.0;0.0;0.0;1.0;0.235;0.273;0.161;0.0;1.0;0.273;0.111;0.065;0.133;0.108;0.0;0.0;0.129;0.111;0.125
ENST00000630913_90_90;0.25;0.29;0.273;0.257;0.25;0.273;0.0;0.533;0.133;0.0;0.0;0.0;0.0;0.273;0.471;1.0;0.29;0.0;0.273;1.0;0.158;0.088;0.188;0.154;0.0;0.25;0.182;0.158;0.176
ENSMUST00000049537_90_90;0.651;0.61;0.744;0.795;0.278;0.744;0.343;0.289;0.622;0.167;0.314;0.343;0.222;0.111;0.342;0.158;0.692;0.114;0.111;0.158;1.0;0.75;0.829;0.972;0.27;0.171;0.857;0.944;0.833
ENSMUST00000207084_90_90;0.6;0.513;0.694;0.75;0.3;0.694;0.379;0.235;0.71;0.207;0.345;0.429;0.233;0.065;0.294;0.088;0.595;0.143;0.065;0.088;0.75;1.0;0.629;0.73;0.333;0.133;0.611;0.75;0.595
ENSMUST00000207225_90_90;0.625;0.667;0.632;0.684;0.333;0.722;0.242;0.344;0.742;0.2;0.333;0.206;0.188;0.133;0.406;0.188;0.765;0.138;0.133;0.188;0.829;0.629;1.0;0.806;0.323;0.207;0.967;0.829;0.935
