;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.661;0.71;1.0;1.0;0.638;0.661
transcript22_ENSAPOG00000016134;0.976;1.0;0.835;0.813;0.976;1.0;0.815;0.794;0.976;0.976;0.678;0.694;0.616;0.663;0.976;0.815;0.829;0.979;0.639;0.678;0.976;0.976;0.649;0.639
transcript27_ENSAPOG00000016134;0.815;0.835;1.0;0.648;0.815;0.835;0.972;0.633;0.815;0.815;0.517;0.529;0.616;0.54;0.815;0.972;0.656;0.817;0.533;0.517;0.815;0.815;0.542;0.533
transcript28_ENSAPOG00000016134;0.794;0.813;0.648;1.0;0.794;0.813;0.633;0.971;0.794;0.794;0.495;0.507;0.398;0.473;0.794;0.633;0.633;0.796;0.519;0.495;0.794;0.794;0.528;0.519
transcript19_ENSAPOG00000023408;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.661;0.71;1.0;1.0;0.638;0.661
transcript22_ENSAPOG00000023408;0.976;1.0;0.835;0.813;0.976;1.0;0.815;0.794;0.976;0.976;0.678;0.694;0.616;0.663;0.976;0.815;0.829;0.979;0.639;0.678;0.976;0.976;0.649;0.639
transcript32_ENSAPOG00000023408;0.843;0.815;0.972;0.633;0.843;0.815;1.0;0.666;0.843;0.843;0.553;0.529;0.656;0.577;0.843;1.0;0.691;0.841;0.557;0.553;0.843;0.843;0.533;0.557
transcript33_ENSAPOG00000023408;0.823;0.794;0.633;0.971;0.823;0.794;0.666;1.0;0.823;0.823;0.532;0.507;0.445;0.512;0.823;0.666;0.669;0.82;0.543;0.532;0.823;0.823;0.519;0.543
transcript12_ENSAOCG00000015695;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.588;0.598;1.0;1.0;0.567;0.588
transcript19_ENSAOCG00000015695;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.588;0.598;1.0;1.0;0.567;0.588
transcript26_ENSAOCG00000015695;0.71;0.678;0.517;0.495;0.71;0.678;0.553;0.532;0.71;0.71;1.0;1.0;1.0;1.0;0.71;0.553;0.548;0.707;0.417;0.792;0.71;0.71;0.393;0.417
transcript27_ENSAOCG00000015695;0.694;0.694;0.529;0.507;0.694;0.694;0.529;0.507;0.694;0.694;1.0;1.0;1.0;1.0;0.694;0.529;0.522;0.694;0.399;0.779;0.694;0.694;0.399;0.399
transcript28_ENSAOCG00000015695;0.656;0.616;0.616;0.398;0.656;0.616;0.656;0.445;0.656;0.656;1.0;1.0;1.0;1.0;0.656;0.656;0.457;0.653;0.358;0.748;0.656;0.656;0.331;0.358
transcript29_ENSAOCG00000015695;0.697;0.663;0.54;0.473;0.697;0.663;0.577;0.512;0.697;0.697;1.0;1.0;1.0;1.0;0.697;0.577;0.527;0.695;0.403;0.782;0.697;0.697;0.378;0.403
transcript12_ENSPNYG00000024266;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.697;0.606;1.0;1.0;0.674;0.697
transcript14_ENSPNYG00000024266;0.843;0.815;0.972;0.633;0.843;0.815;1.0;0.666;0.843;0.843;0.553;0.529;0.656;0.577;0.843;1.0;0.691;0.841;0.588;0.472;0.843;0.843;0.562;0.588
transcript21_ENSPNYG00000024266;0.859;0.829;0.656;0.633;0.859;0.829;0.691;0.669;0.859;0.859;0.548;0.522;0.457;0.527;0.859;0.691;1.0;0.856;0.586;0.463;0.859;0.859;0.559;0.586
transcript22_ENSPNYG00000024266;0.998;0.979;0.817;0.796;0.998;0.979;0.841;0.82;0.998;0.998;0.707;0.694;0.653;0.695;0.998;0.841;0.856;1.0;0.695;0.604;0.998;0.998;0.674;0.695
transcript3_ENSXMAG00000026005;0.661;0.639;0.533;0.519;0.661;0.639;0.557;0.543;0.588;0.588;0.417;0.399;0.358;0.403;0.697;0.588;0.586;0.695;1.0;0.551;0.573;0.573;0.986;1.0
transcript10_ENSXMAG00000026005;0.71;0.678;0.517;0.495;0.71;0.678;0.553;0.532;0.598;0.598;0.792;0.779;0.748;0.782;0.606;0.472;0.463;0.604;0.551;1.0;0.576;0.576;0.53;0.551
transcript11_ENSXMAG00000026005;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.573;0.576;1.0;1.0;0.552;0.573
transcript12_ENSXMAG00000026005;1.0;0.976;0.815;0.794;1.0;0.976;0.843;0.823;1.0;1.0;0.71;0.694;0.656;0.697;1.0;0.843;0.859;0.998;0.573;0.576;1.0;1.0;0.552;0.573
transcript16_ENSXMAG00000026005;0.638;0.649;0.542;0.528;0.638;0.649;0.533;0.519;0.567;0.567;0.393;0.399;0.331;0.378;0.674;0.562;0.559;0.674;0.986;0.53;0.552;0.552;1.0;0.986
transcript17_ENSXMAG00000026005;0.661;0.639;0.533;0.519;0.661;0.639;0.557;0.543;0.588;0.588;0.417;0.399;0.358;0.403;0.697;0.588;0.586;0.695;1.0;0.551;0.573;0.573;0.986;1.0
