;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.925;0.804;0.291;0.084;0.11;0.329;0.974;0.377;0.188;0.819
ENST00000260643_90_90;0.925;1.0;0.825;0.337;0.087;0.112;0.366;0.949;0.356;0.193;0.793
ENST00000406567_90_90;0.804;0.825;1.0;0.163;0.034;0.136;0.245;0.825;0.232;0.232;0.666
ENST00000430533_90_90;0.291;0.337;0.163;1.0;0.208;0.0;0.48;0.3;0.347;0.097;0.355
ENST00000441451_90_90;0.084;0.087;0.034;0.208;1.0;0.0;0.151;0.087;0.082;0.0;0.102
ENST00000444452_90_90;0.11;0.112;0.136;0.0;0.0;1.0;0.0;0.112;0.0;0.0;0.134
ENST00000456259_90_90;0.329;0.366;0.245;0.48;0.151;0.0;1.0;0.336;0.349;0.072;0.221
ENSMUST00000074840_90_90;0.974;0.949;0.825;0.3;0.087;0.112;0.336;1.0;0.386;0.193;0.841
ENSMUST00000201002_90_90;0.377;0.356;0.232;0.347;0.082;0.0;0.349;0.386;1.0;0.122;0.389
ENSMUST00000201821_90_90;0.188;0.193;0.232;0.097;0.0;0.0;0.072;0.193;0.122;1.0;0.229
ENSMUST00000202567_90_90;0.819;0.793;0.666;0.355;0.102;0.134;0.221;0.841;0.389;0.229;1.0
