;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;;1.0;0.544;0.944;0.911;0.818;0.758;0.469;0.189;0.771
ENST00000306107_90_90;1.0;;;;;0.818;0.758;0.469;0.189;0.771
ENST00000465413_90_90;0.544;;;;;0.47;0.411;0.742;0.0;0.423
ENST00000472644_90_90;0.944;;;;;0.771;0.712;0.423;0.198;0.804
ENST00000486979_90_90;0.911;;;;;0.738;0.679;0.512;0.107;0.692
ENSMUST00000023312_90_90;0.818;0.818;0.47;0.771;0.738;;;;;
ENSMUST00000164728_90_90;0.758;0.758;0.411;0.712;0.679;;;;;
ENSMUST00000167115_90_90;0.469;0.469;0.742;0.423;0.512;;;;;
ENSMUST00000168071_90_90;0.189;0.189;0.0;0.198;0.107;;;;;
ENSMUST00000170035_90_90;0.771;0.771;0.423;0.804;0.692;;;;;
