;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.986;0.993;0.028;0.651;0.18;0.717;0.651;0.058;0.176;0.713
ENST00000308924_90_90;0.986;1.0;0.992;0.029;0.646;0.18;0.715;0.646;0.056;0.176;0.722
ENST00000450554_90_90;0.993;0.992;1.0;0.03;0.652;0.181;0.72;0.652;0.057;0.178;0.715
ENST00000587196_90_90;0.028;0.029;0.03;1.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0
ENST00000590551_90_90;0.651;0.646;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENST00000592874_90_90;0.18;0.18;0.181;0.0;0.0;1.0;0.181;0.0;0.0;0.905;0.18
ENSMUST00000005041_90_90;0.717;0.715;0.72;0.0;0.652;0.181;1.0;0.652;0.119;0.2;0.992
ENSMUST00000165399_90_90;0.651;0.646;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENSMUST00000207097_90_90;0.058;0.056;0.057;0.05;0.0;0.0;0.119;0.0;1.0;0.0;0.118
ENSMUST00000207498_90_90;0.176;0.176;0.178;0.0;0.0;0.905;0.2;0.0;0.0;1.0;0.199
ENSMUST00000209099_90_90;0.713;0.722;0.715;0.0;0.646;0.18;0.992;0.646;0.118;0.199;1.0
