;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.974;0.042;0.042;0.042;0.427;0.0;0.032;0.028;0.0;0.203;0.161;0.128;0.058;0.0;0.959;0.044;0.044;0.044;0.452;0.044;0.061;0.115;0.796;0.203
ENST00000312358_90_90;0.974;1.0;0.028;0.028;0.028;0.381;0.0;0.028;0.025;0.0;0.168;0.117;0.115;0.036;0.0;0.987;0.029;0.029;0.029;0.393;0.029;0.039;0.107;0.808;0.174
ENST00000396686_90_90;0.042;0.028;1.0;1.0;1.0;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.117;1.0;0.0;0.0;0.035;0.0
ENST00000396688_90_90;0.042;0.028;1.0;1.0;1.0;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.117;1.0;0.0;0.0;0.035;0.0
ENST00000396689_90_90;0.042;0.028;1.0;1.0;1.0;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.117;1.0;0.0;0.0;0.035;0.0
ENST00000396698_90_90;0.427;0.381;0.115;0.115;0.115;1.0;0.058;0.057;0.0;0.058;0.409;0.26;0.236;0.127;0.0;0.399;0.117;0.117;0.117;0.966;0.117;0.115;0.198;0.322;0.386
ENST00000403148_90_90;0.0;0.0;0.0;0.0;0.0;0.058;1.0;0.0;0.0;1.0;0.11;0.079;0.0;0.229;0.0;0.0;0.0;0.0;0.0;0.065;0.0;0.352;0.0;0.0;0.126
ENST00000409595_90_90;0.032;0.028;0.0;0.0;0.0;0.057;0.0;1.0;0.0;0.0;0.0;0.0;0.16;0.0;0.0;0.032;0.0;0.0;0.0;0.059;0.0;0.0;0.304;0.018;0.0
ENST00000412982_90_90;0.028;0.025;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.514;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036;0.0
ENST00000420132_90_90;0.0;0.0;0.0;0.0;0.0;0.058;1.0;0.0;0.0;1.0;0.11;0.079;0.0;0.229;0.0;0.0;0.0;0.0;0.0;0.065;0.0;0.352;0.0;0.0;0.126
ENST00000431523_90_90;0.203;0.168;0.0;0.0;0.0;0.409;0.11;0.0;0.0;0.11;1.0;0.611;0.324;0.337;0.0;0.177;0.0;0.0;0.0;0.385;0.0;0.311;0.142;0.121;0.943
ENST00000435853_90_90;0.161;0.117;0.0;0.0;0.0;0.26;0.079;0.0;0.0;0.079;0.611;1.0;0.41;0.433;0.0;0.125;0.0;0.0;0.0;0.245;0.0;0.4;0.189;0.063;0.603
ENST00000451076_90_90;0.128;0.115;0.0;0.0;0.0;0.236;0.0;0.16;0.0;0.0;0.324;0.41;1.0;0.089;0.0;0.115;0.0;0.0;0.0;0.224;0.0;0.089;0.335;0.056;0.298
ENST00000452101_90_90;0.058;0.036;0.0;0.0;0.0;0.127;0.229;0.0;0.0;0.229;0.337;0.433;0.089;1.0;0.0;0.041;0.0;0.0;0.0;0.119;0.0;0.894;0.078;0.0;0.331
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.514;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.959;0.987;0.029;0.029;0.029;0.399;0.0;0.032;0.029;0.0;0.177;0.125;0.115;0.041;0.0;1.0;0.027;0.027;0.027;0.406;0.027;0.035;0.095;0.782;0.184
ENSMUST00000113587_90_90;0.044;0.029;1.0;1.0;1.0;0.117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENSMUST00000113588_90_90;0.044;0.029;1.0;1.0;1.0;0.117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENSMUST00000113589_90_90;0.044;0.029;1.0;1.0;1.0;0.117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENSMUST00000113590_90_90;0.452;0.393;0.117;0.117;0.117;0.966;0.065;0.059;0.0;0.065;0.385;0.245;0.224;0.119;0.0;0.406;0.11;0.11;0.11;1.0;0.11;0.12;0.179;0.317;0.417
ENSMUST00000122266_90_90;0.044;0.029;1.0;1.0;1.0;0.117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENSMUST00000125306_90_90;0.061;0.039;0.0;0.0;0.0;0.115;0.352;0.0;0.0;0.352;0.311;0.4;0.089;0.894;0.0;0.035;0.0;0.0;0.0;0.12;0.0;1.0;0.074;0.0;0.318
ENSMUST00000132228_90_90;0.115;0.107;0.0;0.0;0.0;0.198;0.0;0.304;0.0;0.0;0.142;0.189;0.335;0.078;0.0;0.095;0.0;0.0;0.0;0.179;0.0;0.074;1.0;0.028;0.133
ENSMUST00000137868_90_90;0.796;0.808;0.035;0.035;0.035;0.322;0.0;0.018;0.036;0.0;0.121;0.063;0.056;0.0;0.0;0.782;0.033;0.033;0.033;0.317;0.033;0.0;0.028;1.0;0.116
ENSMUST00000148515_90_90;0.203;0.174;0.0;0.0;0.0;0.386;0.126;0.0;0.0;0.126;0.943;0.603;0.298;0.331;0.0;0.184;0.0;0.0;0.0;0.417;0.0;0.318;0.133;0.116;1.0
