;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.916;0.991;0.051;0.196;0.049;0.203;0.289;0.037;0.233;0.991
ENST00000166534_90_90;0.924;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.991;0.916;0.051;0.196;0.049;0.202;0.288;0.037;0.232;0.916
ENST00000360568_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.916;0.991;0.051;0.196;0.049;0.203;0.289;0.037;0.233;0.991
ENST00000379086_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.916;0.991;0.051;0.196;0.049;0.203;0.289;0.037;0.233;0.991
ENST00000379100_90_90;1.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.916;0.991;0.051;0.196;0.049;0.203;0.289;0.037;0.233;0.991
ENST00000379104_90_90;0.924;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.991;0.916;0.051;0.196;0.049;0.202;0.288;0.037;0.232;0.916
ENST00000395164_90_90;0.315;0.313;0.315;0.315;0.315;0.313;1.0;0.313;0.606;0.821;0.684;0.875;0.302;0.71;0.911;0.917;0.309;0.31;0.154;0.616;0.142;0.637;0.906;0.116;0.731;0.31
ENST00000401867_90_90;0.924;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.991;0.916;0.051;0.196;0.049;0.202;0.288;0.037;0.232;0.916
ENST00000416053_90_90;0.191;0.19;0.191;0.191;0.191;0.19;0.606;0.19;1.0;0.498;0.887;0.693;0.498;0.431;0.553;0.662;0.186;0.187;0.242;0.912;0.216;0.883;0.628;0.188;0.774;0.187
ENST00000417528_90_90;0.383;0.382;0.383;0.383;0.383;0.382;0.821;0.382;0.498;1.0;0.561;0.718;0.248;0.863;0.9;0.752;0.377;0.378;0.128;0.507;0.119;0.525;0.746;0.096;0.602;0.378
ENST00000418055_90_90;0.215;0.214;0.215;0.215;0.215;0.214;0.684;0.214;0.887;0.561;1.0;0.782;0.442;0.486;0.623;0.746;0.211;0.211;0.218;0.893;0.196;0.924;0.71;0.167;0.874;0.211
ENST00000428369_90_90;0.275;0.274;0.275;0.275;0.275;0.274;0.875;0.274;0.693;0.718;0.782;1.0;0.345;0.621;0.797;0.954;0.27;0.271;0.174;0.702;0.159;0.727;0.91;0.132;0.833;0.271
ENST00000428841_90_90;0.095;0.095;0.095;0.095;0.095;0.095;0.302;0.095;0.498;0.248;0.442;0.345;1.0;0.215;0.275;0.33;0.093;0.093;0.433;0.457;0.361;0.442;0.314;0.182;0.388;0.093
ENST00000431054_90_90;0.361;0.36;0.361;0.361;0.361;0.36;0.71;0.36;0.431;0.863;0.486;0.621;0.215;1.0;0.78;0.651;0.36;0.361;0.121;0.452;0.131;0.468;0.662;0.083;0.535;0.361
ENST00000439698_90_90;0.345;0.344;0.345;0.345;0.345;0.344;0.911;0.344;0.553;0.9;0.623;0.797;0.275;0.78;1.0;0.835;0.339;0.341;0.141;0.562;0.131;0.582;0.827;0.106;0.667;0.341
ENST00000453286_90_90;0.288;0.287;0.288;0.288;0.288;0.287;0.917;0.287;0.662;0.752;0.746;0.954;0.33;0.651;0.835;1.0;0.283;0.284;0.167;0.671;0.153;0.694;0.954;0.126;0.796;0.284
ENSMUST00000019050_90_90;0.916;0.991;0.916;0.916;0.916;0.991;0.309;0.991;0.186;0.377;0.211;0.27;0.093;0.36;0.339;0.283;1.0;0.925;0.053;0.202;0.052;0.209;0.295;0.038;0.239;0.925
ENSMUST00000093107_90_90;0.991;0.916;0.991;0.991;0.991;0.916;0.31;0.916;0.187;0.378;0.211;0.271;0.093;0.361;0.341;0.284;0.925;1.0;0.054;0.203;0.053;0.21;0.296;0.038;0.24;1.0
ENSMUST00000125132_90_90;0.051;0.051;0.051;0.051;0.051;0.051;0.154;0.051;0.242;0.128;0.218;0.174;0.433;0.121;0.141;0.167;0.053;0.054;1.0;0.242;0.451;0.235;0.172;0.0;0.208;0.054
ENSMUST00000126840_90_90;0.196;0.196;0.196;0.196;0.196;0.196;0.616;0.196;0.912;0.507;0.893;0.702;0.457;0.452;0.562;0.671;0.202;0.203;0.242;1.0;0.223;0.967;0.686;0.183;0.847;0.203
ENSMUST00000129499_90_90;0.049;0.049;0.049;0.049;0.049;0.049;0.142;0.049;0.216;0.119;0.196;0.159;0.361;0.131;0.131;0.153;0.052;0.053;0.451;0.223;1.0;0.217;0.162;0.0;0.194;0.053
ENSMUST00000135653_90_90;0.203;0.202;0.203;0.203;0.203;0.202;0.637;0.202;0.883;0.525;0.924;0.727;0.442;0.468;0.582;0.694;0.209;0.21;0.235;0.967;0.217;1.0;0.709;0.177;0.875;0.21
ENSMUST00000138477_90_90;0.289;0.288;0.289;0.289;0.289;0.288;0.906;0.288;0.628;0.746;0.71;0.91;0.314;0.662;0.827;0.954;0.295;0.296;0.172;0.686;0.162;0.709;1.0;0.127;0.811;0.296
