;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.965;0.732;0.849;0.765;0.617;0.65;0.617;0.143;0.502;0.89;0.751;0.774;0.843;0.753;0.351;0.482;0.802;0.219;0.559;0.961
ENST00000264731_90_90;0.965;1.0;0.768;0.845;0.801;0.623;0.655;0.532;0.122;0.41;0.925;0.751;0.775;0.835;0.782;0.347;0.4;0.793;0.218;0.489;1.0
ENST00000320472_90_90;0.732;0.768;1.0;0.623;0.87;0.8;0.694;0.68;0.153;0.519;0.694;0.528;0.553;0.597;0.853;0.456;0.512;0.555;0.288;0.635;0.75
ENST00000354600_90_90;0.849;0.845;0.623;1.0;0.655;0.748;0.786;0.41;0.178;0.504;0.775;0.892;0.925;1.0;0.629;0.45;0.499;0.955;0.097;0.365;0.835
ENST00000392460_90_90;0.765;0.801;0.87;0.655;1.0;0.694;0.809;0.649;0.147;0.496;0.727;0.561;0.586;0.629;1.0;0.435;0.49;0.588;0.273;0.604;0.782
ENST00000392461_90_90;0.617;0.623;0.8;0.748;0.694;1.0;0.861;0.519;0.23;0.661;0.553;0.639;0.673;0.73;0.665;0.617;0.665;0.685;0.127;0.468;0.597
ENST00000392463_90_90;0.65;0.655;0.694;0.786;0.809;0.861;1.0;0.496;0.22;0.626;0.586;0.678;0.712;0.768;0.792;0.584;0.629;0.723;0.12;0.445;0.629
ENST00000418709_90_90;0.617;0.532;0.68;0.41;0.649;0.519;0.496;1.0;0.169;0.778;0.467;0.323;0.349;0.4;0.652;0.49;0.767;0.365;0.308;0.933;0.527
ENST00000434928_90_90;0.143;0.122;0.153;0.178;0.147;0.23;0.22;0.169;1.0;0.256;0.131;0.083;0.192;0.2;0.167;0.407;0.286;0.21;0.35;0.197;0.135
ENST00000437221_90_90;0.502;0.41;0.519;0.504;0.496;0.661;0.626;0.778;0.256;1.0;0.349;0.404;0.438;0.499;0.49;0.671;1.0;0.46;0.135;0.708;0.4
ENST00000440651_90_90;0.89;0.925;0.694;0.775;0.727;0.553;0.586;0.467;0.131;0.349;1.0;0.681;0.835;0.793;0.739;0.306;0.365;0.828;0.226;0.505;0.956
ENST00000449992_90_90;0.751;0.751;0.528;0.892;0.561;0.639;0.678;0.323;0.083;0.404;0.681;1.0;0.817;0.885;0.53;0.335;0.395;0.841;0.0;0.273;0.735
ENST00000456148_90_90;0.774;0.775;0.553;0.925;0.586;0.673;0.712;0.349;0.192;0.438;0.835;0.817;1.0;0.955;0.588;0.404;0.461;1.0;0.1;0.375;0.793
ENSMUST00000040231_90_90;0.843;0.835;0.597;1.0;0.629;0.73;0.768;0.4;0.2;0.499;0.793;0.885;0.955;1.0;0.655;0.44;0.504;0.925;0.086;0.349;0.845
ENSMUST00000065523_90_90;0.753;0.782;0.853;0.629;1.0;0.665;0.792;0.652;0.167;0.49;0.739;0.53;0.588;0.655;1.0;0.427;0.496;0.586;0.234;0.569;0.801
ENSMUST00000115304_90_90;0.351;0.347;0.456;0.45;0.435;0.617;0.584;0.49;0.407;0.671;0.306;0.335;0.404;0.44;0.427;1.0;0.657;0.37;0.145;0.4;0.349
ENSMUST00000115305_90_90;0.482;0.4;0.512;0.499;0.49;0.665;0.629;0.767;0.286;1.0;0.365;0.395;0.461;0.504;0.496;0.657;1.0;0.438;0.117;0.674;0.41
ENSMUST00000115306_90_90;0.802;0.793;0.555;0.955;0.588;0.685;0.723;0.365;0.21;0.46;0.828;0.841;1.0;0.925;0.586;0.37;0.438;1.0;0.089;0.366;0.775
ENSMUST00000115307_90_90;0.219;0.218;0.288;0.097;0.273;0.127;0.12;0.308;0.35;0.135;0.226;0.0;0.1;0.086;0.234;0.145;0.117;0.089;1.0;0.285;0.194
ENSMUST00000115308_90_90;0.559;0.489;0.635;0.365;0.604;0.468;0.445;0.933;0.197;0.708;0.505;0.273;0.375;0.349;0.569;0.4;0.674;0.366;0.285;1.0;0.467
ENSMUST00000115310_90_90;0.961;1.0;0.75;0.835;0.782;0.597;0.629;0.527;0.135;0.4;0.956;0.735;0.793;0.845;0.801;0.349;0.41;0.775;0.194;0.467;1.0
