;ENSCAFT00000011194_90_90;ENST00000313726_90_90;ENST00000524757_90_90;ENST00000525169_90_90;ENST00000526057_90_90;ENST00000526062_90_90;ENST00000526099_90_90;ENST00000526126_90_90;ENST00000526155_90_90;ENST00000526241_90_90;ENST00000526757_90_90;ENST00000526828_90_90;ENST00000527347_90_90;ENST00000527392_90_90;ENST00000527473_90_90;ENST00000527510_90_90;ENST00000527516_90_90;ENST00000527930_90_90;ENST00000528196_90_90;ENST00000528523_90_90;ENST00000528527_90_90;ENST00000530338_90_90;ENST00000530438_90_90;ENST00000530580_90_90;ENST00000530593_90_90;ENST00000530938_90_90;ENST00000530959_90_90;ENST00000530991_90_90;ENST00000531060_90_90;ENST00000531093_90_90;ENST00000531578_90_90;ENST00000532734_90_90;ENST00000533016_90_90;ENST00000533020_90_90;ENST00000533225_90_90;ENST00000533471_90_90;ENST00000533580_90_90;ENST00000533681_90_90;ENST00000534127_90_90;ENST00000534248_90_90;ENST00000534278_90_90;ENST00000534665_90_90;ENST00000626808_90_90;ENSMUST00000077909_90_90;ENSMUST00000079282_90_90;ENSMUST00000084738_90_90;ENSMUST00000168005_90_90;ENSMUST00000207394_90_90;ENSMUST00000207745_90_90;ENSMUST00000208583_90_90;ENSMUST00000208734_90_90
ENSCAFT00000011194_90_90;;0.897;0.076;0.043;0.072;0.049;0.474;0.057;0.199;0.232;0.53;0.057;0.176;0.066;0.121;0.144;0.135;0.255;0.166;0.271;0.17;0.065;0.53;0.144;0.201;0.092;0.223;0.431;0.11;0.076;0.021;0.274;0.16;0.286;0.067;0.092;0.207;0.251;0.897;0.19;0.185;0.03;0.274;0.972;0.972;0.605;0.605;0.135;0.043;0.146;0.021
ENST00000313726_90_90;0.897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.89;0.89;0.525;0.525;0.134;0.042;0.145;0.02
ENST00000524757_90_90;0.076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.077;0.077;0.031;0.031;0.573;0.219;0.534;0.316
ENST00000525169_90_90;0.043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.043;0.043;0.033;0.033;0.347;0.307;0.323;0.5
ENST00000526057_90_90;0.072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.072;0.072;0.121;0.121;0.0;0.0;0.0;0.0
ENST00000526062_90_90;0.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.05;0.08;0.08;0.0;0.0;0.0;0.0
ENST00000526099_90_90;0.474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.477;0.477;0.756;0.756;0.0;0.0;0.0;0.0
ENST00000526126_90_90;0.057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.057;0.057;0.093;0.093;0.13;0.662;0.124;0.309
ENST00000526155_90_90;0.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.19;0.19;0.027;0.027;0.707;0.113;0.759;0.137
ENST00000526241_90_90;0.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.223;0.223;0.026;0.026;0.611;0.1;0.655;0.119
