;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.645;0.641;0.638;0.438;0.433;0.619;0.612;0.48;0.696;0.602;0.53;0.521;0.744;0.507;0.496;0.489;0.489;0.5;0.498;0.492;0.507;0.498
transcript38_ENSMSIG00000000513;0.645;1.0;0.993;0.986;0.679;0.671;0.722;0.712;0.594;0.515;0.442;0.333;0.315;0.488;0.345;0.333;0.329;0.329;0.339;0.337;0.342;0.352;0.345
transcript38_MGP-SPRETEiJ-G0021131;0.641;0.993;1.0;0.979;0.671;0.676;0.716;0.706;0.594;0.511;0.438;0.33;0.311;0.484;0.343;0.331;0.326;0.326;0.337;0.335;0.339;0.349;0.342
transcript38_ENSMUSG00000054036;0.638;0.986;0.979;1.0;0.679;0.671;0.712;0.712;0.594;0.515;0.442;0.329;0.31;0.483;0.342;0.33;0.326;0.326;0.336;0.334;0.338;0.348;0.342
transcript52_ENSMSIG00000000513;0.438;0.679;0.671;0.679;1.0;0.989;0.456;0.447;0.421;0.349;0.3;0.18;0.17;0.331;0.236;0.231;0.228;0.228;0.23;0.229;0.237;0.239;0.234
transcript52_MGP-SPRETEiJ-G0021131;0.433;0.671;0.676;0.671;0.989;1.0;0.45;0.441;0.421;0.346;0.297;0.176;0.166;0.328;0.233;0.228;0.225;0.225;0.228;0.227;0.234;0.236;0.232
transcript58_ENSMSIG00000000513;0.619;0.722;0.716;0.712;0.456;0.45;1.0;0.987;0.586;0.555;0.476;0.393;0.373;0.493;0.372;0.36;0.354;0.354;0.366;0.364;0.354;0.369;0.362
transcript58_ENSMUSG00000054036;0.612;0.712;0.706;0.712;0.447;0.441;0.987;1.0;0.578;0.555;0.476;0.388;0.368;0.488;0.369;0.357;0.351;0.351;0.362;0.361;0.351;0.366;0.359
transcript63_MGP-SPRETEiJ-G0021131;0.48;0.594;0.594;0.594;0.421;0.421;0.586;0.578;1.0;0.706;0.606;0.543;0.516;0.663;0.468;0.455;0.449;0.449;0.465;0.463;0.462;0.482;0.473
transcript54_ENSMUSG00000054036;0.696;0.515;0.511;0.515;0.349;0.346;0.555;0.555;0.706;1.0;0.858;0.724;0.698;0.88;0.658;0.642;0.632;0.632;0.651;0.647;0.625;0.648;0.635
transcript55_ENSMUSG00000054036;0.602;0.442;0.438;0.442;0.3;0.297;0.476;0.476;0.606;0.858;1.0;0.656;0.629;0.817;0.77;0.756;0.744;0.744;0.759;0.755;0.707;0.723;0.742
transcript8_MGP-CAROLIEiJ-G0020234;0.53;0.333;0.33;0.329;0.18;0.176;0.393;0.388;0.543;0.724;0.656;1.0;0.928;0.702;0.587;0.578;0.566;0.566;0.581;0.578;0.588;0.599;0.591
transcript8_ENSRNOG00000031503;0.521;0.315;0.311;0.31;0.17;0.166;0.373;0.368;0.516;0.698;0.629;0.928;1.0;0.676;0.548;0.595;0.582;0.582;0.547;0.545;0.606;0.564;0.557
transcript47_MGP-CAROLIEiJ-G0020234;0.744;0.488;0.484;0.483;0.331;0.328;0.493;0.488;0.663;0.88;0.817;0.702;0.676;1.0;0.678;0.663;0.653;0.653;0.671;0.667;0.616;0.636;0.654
transcript39_MGP-PahariEiJ-G0020237;0.507;0.345;0.343;0.342;0.236;0.233;0.372;0.369;0.468;0.658;0.77;0.587;0.548;0.678;1.0;0.926;0.912;0.912;0.964;0.959;0.876;0.927;0.947
transcript39_ENSRNOG00000031503;0.496;0.333;0.331;0.33;0.231;0.228;0.36;0.357;0.455;0.642;0.756;0.578;0.595;0.663;0.926;1.0;0.979;0.979;0.92;0.916;0.941;0.884;0.903
transcript31_ENSRNOG00000031503;0.489;0.329;0.326;0.326;0.228;0.225;0.354;0.351;0.449;0.632;0.744;0.566;0.582;0.653;0.912;0.979;1.0;1.0;0.939;0.935;0.961;0.903;0.923
transcript32_ENSRNOG00000031503;0.489;0.329;0.326;0.326;0.228;0.225;0.354;0.351;0.449;0.632;0.744;0.566;0.582;0.653;0.912;0.979;1.0;1.0;0.939;0.935;0.961;0.903;0.923
transcript32_ENSMUGG00000013649;0.5;0.339;0.337;0.336;0.23;0.228;0.366;0.362;0.465;0.651;0.759;0.581;0.547;0.671;0.964;0.92;0.939;0.939;1.0;0.995;0.903;0.964;0.983
transcript32_ENSMUGG00000013592;0.498;0.337;0.335;0.334;0.229;0.227;0.364;0.361;0.463;0.647;0.755;0.578;0.545;0.667;0.959;0.916;0.935;0.935;0.995;1.0;0.899;0.959;0.978
transcript50_ENSRNOG00000031503;0.492;0.342;0.339;0.338;0.237;0.234;0.354;0.351;0.462;0.625;0.707;0.588;0.606;0.616;0.876;0.941;0.961;0.961;0.903;0.899;1.0;0.932;0.919
transcript50_ENSMUGG00000013649;0.507;0.352;0.349;0.348;0.239;0.236;0.369;0.366;0.482;0.648;0.723;0.599;0.564;0.636;0.927;0.884;0.903;0.903;0.964;0.959;0.932;1.0;0.98
transcript12_ENSMUGG00000013649;0.498;0.345;0.342;0.342;0.234;0.232;0.362;0.359;0.473;0.635;0.742;0.591;0.557;0.654;0.947;0.903;0.923;0.923;0.983;0.978;0.919;0.98;1.0
