;ENSCAFT00000019569_90_90;ENSCAFT00000036114_90_90;ENST00000334961_90_90;ENST00000338641_90_90;ENST00000353887_90_90;ENST00000361166_90_90;ENST00000361452_90_90;ENST00000361676_90_90;ENST00000397789_90_90;ENST00000403435_90_90;ENST00000403999_90_90;ENST00000413209_90_90;ENST00000432151_90_90;ENSMUST00000053079_90_90;ENSMUST00000056290_90_90;ENSMUST00000093374_90_90;ENSMUST00000109910_90_90;ENSMUST00000124878_90_90;ENSMUST00000137926_90_90;ENSMUST00000152656_90_90;ENSMUST00000164190_90_90;ENSMUST00000172305_90_90
ENSCAFT00000019569_90_90;1.0;0.906;0.819;0.925;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.281;0.381;1.0;1.0;0.888;0.928;0.172;0.239;0.25;0.423;0.058
ENSCAFT00000036114_90_90;0.906;1.0;0.751;1.0;0.751;0.925;0.839;0.838;0.925;0.849;0.925;0.333;0.38;0.928;0.928;0.82;1.0;0.171;0.238;0.249;0.421;0.058
ENST00000334961_90_90;0.819;0.751;1.0;0.734;1.0;0.819;0.899;0.9;0.819;0.739;0.819;0.105;0.467;0.819;0.819;0.803;0.751;0.054;0.239;0.317;0.378;0.073
ENST00000338641_90_90;0.925;1.0;0.734;1.0;0.734;0.902;0.819;0.818;0.902;0.829;0.902;0.349;0.369;0.925;0.925;0.815;1.0;0.177;0.244;0.257;0.433;0.06
ENST00000353887_90_90;0.819;0.751;1.0;0.734;1.0;0.819;0.899;0.9;0.819;0.739;0.819;0.105;0.467;0.819;0.819;0.803;0.751;0.054;0.239;0.317;0.378;0.073
ENST00000361166_90_90;1.0;0.925;0.819;0.902;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.273;0.381;1.0;1.0;0.885;0.925;0.177;0.245;0.258;0.435;0.06
ENST00000361452_90_90;0.91;0.839;0.899;0.819;0.899;0.91;1.0;0.819;0.91;0.83;0.91;0.189;0.419;0.91;0.91;0.794;0.839;0.087;0.216;0.283;0.479;0.066
ENST00000361676_90_90;0.909;0.838;0.9;0.818;0.9;0.909;0.819;1.0;0.909;0.829;0.909;0.189;0.419;0.909;0.909;0.899;0.838;0.15;0.27;0.283;0.344;0.066
ENST00000397789_90_90;1.0;0.925;0.819;0.902;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.273;0.381;1.0;1.0;0.885;0.925;0.177;0.245;0.258;0.435;0.06
ENST00000403435_90_90;0.92;0.849;0.739;0.829;0.739;0.92;0.83;0.829;0.92;1.0;0.92;0.295;0.415;0.92;0.92;0.805;0.849;0.195;0.266;0.281;0.424;0.065
ENST00000403999_90_90;1.0;0.925;0.819;0.902;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.273;0.381;1.0;1.0;0.885;0.925;0.177;0.245;0.258;0.435;0.06
ENST00000413209_90_90;0.281;0.333;0.105;0.349;0.105;0.273;0.189;0.189;0.273;0.295;0.273;1.0;0.18;0.281;0.281;0.17;0.333;0.524;0.186;0.096;0.357;0.187
ENST00000432151_90_90;0.381;0.38;0.467;0.369;0.467;0.381;0.419;0.419;0.381;0.415;0.381;0.18;1.0;0.381;0.381;0.34;0.38;0.102;0.221;0.675;0.37;0.158
ENSMUST00000053079_90_90;1.0;0.928;0.819;0.925;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.281;0.381;1.0;1.0;0.888;0.906;0.166;0.239;0.25;0.423;0.053
ENSMUST00000056290_90_90;1.0;0.928;0.819;0.925;0.819;1.0;0.91;0.909;1.0;0.92;1.0;0.281;0.381;1.0;1.0;0.888;0.906;0.166;0.239;0.25;0.423;0.053
ENSMUST00000093374_90_90;0.888;0.82;0.803;0.815;0.803;0.885;0.794;0.899;0.885;0.805;0.885;0.17;0.34;0.888;0.888;1.0;0.801;0.186;0.27;0.281;0.311;0.0
ENSMUST00000109910_90_90;0.928;1.0;0.751;1.0;0.751;0.925;0.839;0.838;0.925;0.849;0.925;0.333;0.38;0.906;0.906;0.801;1.0;0.161;0.233;0.242;0.411;0.052
ENSMUST00000124878_90_90;0.172;0.171;0.054;0.177;0.054;0.177;0.087;0.15;0.177;0.195;0.177;0.524;0.102;0.166;0.166;0.186;0.161;1.0;0.249;0.128;0.154;0.0
ENSMUST00000137926_90_90;0.239;0.238;0.239;0.244;0.239;0.245;0.216;0.27;0.245;0.266;0.245;0.186;0.221;0.239;0.239;0.27;0.233;0.249;1.0;0.291;0.438;0.0
ENSMUST00000152656_90_90;0.25;0.249;0.317;0.257;0.317;0.258;0.283;0.283;0.258;0.281;0.258;0.096;0.675;0.25;0.25;0.281;0.242;0.128;0.291;1.0;0.301;0.0
ENSMUST00000164190_90_90;0.423;0.421;0.378;0.433;0.378;0.435;0.479;0.344;0.435;0.424;0.435;0.357;0.37;0.423;0.423;0.311;0.411;0.154;0.438;0.301;1.0;0.111
ENSMUST00000172305_90_90;0.058;0.058;0.073;0.06;0.073;0.06;0.066;0.066;0.06;0.065;0.06;0.187;0.158;0.053;0.053;0.0;0.052;0.0;0.0;0.0;0.111;1.0
