;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;;;0.443;0.466;0.348;0.371;0.365;0.217;0.926;0.978;0.958;0.013;0.761;0.379;0.305;0.382;0.384;0.378;0.36;0.496;0.98;1.0
ENSCAFT00000016916_90_90;;;0.436;0.459;0.343;0.365;0.36;0.213;0.908;0.958;0.978;0.013;0.781;0.399;0.299;0.375;0.378;0.372;0.355;0.489;1.0;0.98
ENSCAFT00000023521_90_90;0.443;0.436;;0.818;0.674;0.69;0.677;0.217;0.445;0.43;0.424;0.013;0.302;0.12;0.237;0.268;0.69;0.677;0.674;0.82;0.436;0.443
ENST00000342558_90_90;0.466;0.459;0.818;;;;;;0.469;0.453;0.446;0.014;0.317;0.129;0.258;0.279;0.746;0.732;0.746;0.957;0.459;0.466
ENST00000360663_90_90;0.348;0.343;0.674;;;;;;0.348;0.337;0.332;0.017;0.204;0.142;0.279;0.298;0.925;0.947;0.972;0.732;0.343;0.348
ENST00000394828_90_90;0.371;0.365;0.69;;;;;;0.371;0.359;0.353;0.017;0.226;0.141;0.278;0.329;0.973;0.952;0.925;0.767;0.365;0.371
ENST00000394829_90_90;0.365;0.36;0.677;;;;;;0.366;0.353;0.348;0.016;0.222;0.138;0.271;0.322;0.952;0.974;0.947;0.753;0.36;0.365
ENST00000430762_90_90;0.217;0.213;0.217;;;;;;0.227;0.217;0.213;0.0;0.264;0.0;0.107;0.213;0.372;0.393;0.368;0.256;0.213;0.217
ENST00000323055_90_90;0.926;0.908;0.445;0.469;0.348;0.371;0.366;0.227;;;;;;;;;0.384;0.378;0.36;0.499;0.908;0.926
ENST00000394853_90_90;0.978;0.958;0.43;0.453;0.337;0.359;0.353;0.217;;;;;;;;;0.371;0.365;0.348;0.483;0.958;0.978
ENST00000394854_90_90;0.958;0.978;0.424;0.446;0.332;0.353;0.348;0.213;;;;;;;;;0.365;0.36;0.343;0.475;0.978;0.958
ENST00000492351_90_90;0.013;0.013;0.013;0.014;0.017;0.017;0.016;0.0;;;;;;;;;0.017;0.016;0.017;0.013;0.013;0.013
ENST00000507176_90_90;0.761;0.781;0.302;0.317;0.204;0.226;0.222;0.264;;;;;;;;;0.237;0.233;0.215;0.347;0.781;0.761
ENST00000512215_90_90;0.379;0.399;0.12;0.129;0.142;0.141;0.138;0.0;;;;;;;;;0.141;0.138;0.142;0.127;0.399;0.379
ENST00000525819_90_90;0.305;0.299;0.237;0.258;0.279;0.278;0.271;0.107;;;;;;;;;0.278;0.271;0.279;0.253;0.299;0.305
ENST00000529324_90_90;0.382;0.375;0.268;0.279;0.298;0.329;0.322;0.213;;;;;;;;;0.346;0.338;0.315;0.311;0.375;0.382
ENSMUST00000022355_90_90;0.384;0.378;0.69;0.746;0.925;0.973;0.952;0.372;0.384;0.371;0.365;0.017;0.237;0.141;0.278;0.346;;;;;0.378;0.384
ENSMUST00000159027_90_90;0.378;0.372;0.677;0.732;0.947;0.952;0.974;0.393;0.378;0.365;0.36;0.016;0.233;0.138;0.271;0.338;;;;;0.372;0.378
ENSMUST00000161445_90_90;0.36;0.355;0.674;0.746;0.972;0.925;0.947;0.368;0.36;0.348;0.343;0.017;0.215;0.142;0.279;0.315;;;;;0.355;0.36
ENSMUST00000161989_90_90;0.496;0.489;0.82;0.957;0.732;0.767;0.753;0.256;0.499;0.483;0.475;0.013;0.347;0.127;0.253;0.311;;;;;0.489;0.496
ENSMUST00000056758_90_90;0.98;1.0;0.436;0.459;0.343;0.365;0.36;0.213;0.908;0.958;0.978;0.013;0.781;0.399;0.299;0.375;0.378;0.372;0.355;0.489;;
ENSMUST00000070198_90_90;1.0;0.98;0.443;0.466;0.348;0.371;0.365;0.217;0.926;0.978;0.958;0.013;0.761;0.379;0.305;0.382;0.384;0.378;0.36;0.496;;
