;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.846;0.538;0.692;0.231;0.231;0.615;0.615;0.385;1.0;0.857
ENST00000360057_90_90;0.846;1.0;0.6;0.857;0.176;0.267;0.562;0.714;0.312;0.846;0.692
ENST00000378098_90_90;0.538;0.6;1.0;0.692;0.231;0.364;0.4;0.818;0.062;0.538;0.636
ENST00000378099_90_90;0.692;0.857;0.692;1.0;0.2;0.308;0.643;0.692;0.188;0.692;0.818
ENST00000482940_90_90;0.231;0.176;0.231;0.2;1.0;0.375;0.417;0.231;0.0;0.231;0.273
ENST00000489798_90_90;0.231;0.267;0.364;0.308;0.375;1.0;0.333;0.364;0.0;0.231;0.273
ENST00000538212_90_90;0.615;0.562;0.4;0.643;0.417;0.333;1.0;0.4;0.2;0.615;0.727
ENST00000552881_90_90;0.615;0.714;0.818;0.692;0.231;0.364;0.4;1.0;0.133;0.615;0.583
ENST00000639328_90_90;0.385;0.312;0.062;0.188;0.0;0.0;0.2;0.133;1.0;0.385;0.231
ENSMUST00000067888_90_90;1.0;0.846;0.538;0.692;0.231;0.231;0.615;0.615;0.385;1.0;0.857
ENSMUST00000114644_90_90;0.857;0.692;0.636;0.818;0.273;0.273;0.727;0.583;0.231;0.857;1.0
